model type,technique,training loses,testing loses,training accuracies,training f1,testing accuracies,testing f1,testing true positives,testing true negatives,testing false positives,testing false negatives
KNN,dropout,"[0.006666666666666667, 0.01, 0.02, 0.01, 0.01]",[0.2814814814814815],"[99.33333333333333, 99.0, 98.0, 99.0, 99.0]","[0.9933333333333333, 0.9898815452687554, 0.98048, 0.9898482906480855, 0.989960515089585]",[71.85185185185186],0.7245819848975188,21.0,13.0,17.0,84.0
KNN,layer normalisation,"[0.21333333333333335, 0.20333333333333334, 0.18333333333333332, 0.19666666666666666, 0.19333333333333333]",[0.5555555555555556],"[78.66666666666666, 79.66666666666666, 81.66666666666667, 80.33333333333333, 80.66666666666666]","[0.7542908762420957, 0.7804856140350876, 0.7804479226315454, 0.7821046813684851, 0.7909583333333333]",[44.44444444444444],0.39766081871345027,20.0,10.0,55.0,50.0
KNN,prune,"[0.18333333333333332, 0.20666666666666667, 0.18333333333333332, 0.17, 0.18666666666666668]",[0.34814814814814815],"[81.66666666666667, 79.33333333333333, 81.66666666666667, 83.0, 81.33333333333333]","[0.8160702900051576, 0.7922807017543859, 0.814764582512526, 0.8271327984280336, 0.8106028492296464]",[65.18518518518519],0.6477755596926582,22.0,15.0,25.0,73.0
KNN,weight normalisation,"[0.30666666666666664, 0.3333333333333333, 0.2966666666666667, 0.31333333333333335, 0.32666666666666666]",[0.5185185185185185],"[69.33333333333334, 66.66666666666666, 70.33333333333334, 68.66666666666667, 67.33333333333333]","[0.6937747032514664, 0.6674934545955629, 0.7025660104010424, 0.6880386790731619, 0.6712518740629685]",[48.148148148148145],0.5334059549745824,61.0,16.0,9.0,49.0
KNN,weight decay,"[0.016666666666666666, 0.01, 0.013333333333333334, 0.006666666666666667, 0.01]",[0.362962962962963],"[98.33333333333333, 99.0, 98.66666666666667, 99.33333333333333, 99.0]","[0.9832380671411537, 0.9900351960481629, 0.9867284346097612, 0.9933491780550603, 0.9900370328807092]",[63.70370370370371],0.5609145720773627,9.0,3.0,40.0,83.0
KNN,weight perturbation,"[0.0033333333333333335, 0.0, 0.0033333333333333335, 0.0033333333333333335, 0.0033333333333333335]",[0.3111111111111111],"[99.66666666666667, 100.0, 99.66666666666667, 99.66666666666667, 99.66666666666667]","[0.9966591764758405, 1.0, 0.9966606717097526, 0.9966584774177598, 0.9966599637758669]",[68.88888888888889],0.7222222222222222,30.0,9.0,12.0,84.0
Neural Network,baseline,"[0.17, 0.15, 0.16666666666666666, 0.19, 0.16666666666666666]",[0.26666666666666666],"[83.0, 85.0, 83.33333333333334, 81.0, 83.33333333333334]","[0.7966349553632475, 0.8335813536530704, 0.8068352905751279, 0.7775824904659262, 0.8059598341328563]",[73.33333333333333],0.7333333333333333,18.0,1.0,18.0,98.0
Neural Network,batch normalisation,"[0.24666666666666667, 0.24333333333333335, 0.24, 0.25333333333333335, 0.23]",[0.24444444444444444],"[75.33333333333333, 75.66666666666667, 76.0, 74.66666666666667, 77.0]","[0.6473510773130545, 0.6518532574320051, 0.6563636363636364, 0.6383715012722646, 0.6699435028248588]",[75.55555555555556],0.6503516174402251,0.0,0.0,33.0,102.0
Neural Network,dropout,"[0.8433333333333334, 0.15333333333333332, 0.16333333333333333, 0.17, 0.17]",[0.2222222222222222],"[15.666666666666668, 84.66666666666667, 83.66666666666667, 83.0, 83.0]","[0.04243996157540826, 0.7763658243080627, 0.7622625529340593, 0.752896174863388, 0.752896174863388]",[77.77777777777779],0.6805555555555556,0.0,0.0,30.0,105.0
Neural Network,layer normalisation,"[0.09, 0.09333333333333334, 0.10666666666666667, 0.08333333333333333, 0.08666666666666667]",[0.6148148148148148],"[91.0, 90.66666666666666, 89.33333333333333, 91.66666666666666, 91.33333333333333]","[0.905978494623656, 0.9036208236208237, 0.8872598870056496, 0.9151334129828753, 0.9104397163120568]",[38.51851851851852],0.36248346276440996,30.0,12.0,53.0,40.0
Neural Network,prune,"[0.36333333333333334, 0.64, 0.63, 0.35, 0.39666666666666667]",[0.7037037037037037],"[63.66666666666667, 36.0, 37.0, 65.0, 60.333333333333336]","[0.49532926001357774, 0.19058823529411767, 0.19985401459854016, 0.5121212121212121, 0.4540679140679141]",[29.629629629629626],0.13544973544973543,95.0,40.0,0.0,0.0
Neural Network,weight normalisation,"[0.38666666666666666, 0.39, 0.5966666666666667, 0.5966666666666667, 0.5966666666666667]",[0.18518518518518517],"[61.33333333333333, 61.0, 40.33333333333333, 40.33333333333333, 40.33333333333333]","[0.46633608815427, 0.46223602484472054, 0.23184481393507525, 0.23184481393507525, 0.23184481393507525]",[81.48148148148148],0.7316704459561602,0.0,0.0,25.0,110.0
Neural Network,weight decay,"[0.3566666666666667, 0.35, 0.33666666666666667, 0.31, 0.34]",[0.31851851851851853],"[64.33333333333333, 65.0, 66.33333333333333, 69.0, 66.0]","[0.5037052062204191, 0.5121212121212121, 0.5290714762859051, 0.5634319526627218, 0.5248192771084338]",[68.14814814814815],0.5523902757382934,0.0,0.0,43.0,92.0
Neural Network,weight perturbation,"[0.20666666666666667, 0.14333333333333334, 0.24666666666666667, 0.15, 0.16333333333333333]",[0.15555555555555556],"[79.33333333333333, 85.66666666666667, 75.33333333333333, 85.0, 83.66666666666667]","[0.7683560753736193, 0.8491039706195997, 0.6473510773130545, 0.8296039413686473, 0.8121655829589328]",[84.44444444444444],0.7732262382864792,0.0,0.0,21.0,114.0
Random forest,baseline,"[0.24666666666666667, 0.24333333333333335, 0.25333333333333335, 0.25333333333333335, 0.25666666666666665]",[0.14074074074074075],"[75.33333333333333, 75.66666666666667, 74.66666666666667, 74.66666666666667, 74.33333333333333]","[0.6473510773130545, 0.6518532574320051, 0.6383715012722646, 0.6383715012722646, 0.6338942001274697]",[85.92592592592592],0.794215729673897,0.0,0.0,19.0,116.0
Random forest,batch normalisation,"[0.013333333333333334, 0.013333333333333334, 0.006666666666666667, 0.006666666666666667, 0.016666666666666666]",[0.3851851851851852],"[98.33333333333333, 98.33333333333333, 99.33333333333333, 99.33333333333333, 98.0]","[0.9864900284900286, 0.986513516789914, 0.9933023555206887, 0.9933629629629629, 0.983096903096903]",[61.48148148148148],0.6106661272923408,25.0,6.0,27.0,77.0
Random forest,dropout,"[0.15666666666666668, 0.15666666666666668, 0.16666666666666666, 0.17666666666666667, 0.15666666666666668]",[0.2222222222222222],"[84.33333333333334, 84.33333333333334, 83.33333333333334, 82.33333333333334, 84.33333333333334]","[0.7716576250753466, 0.7716576250753466, 0.7575757575757575, 0.7435588056063376, 0.7716576250753466]",[77.77777777777779],0.6805555555555556,0.0,0.0,30.0,105.0
Random forest,layer normalisation,"[0.18333333333333332, 0.13666666666666666, 0.15333333333333332, 0.15666666666666668, 0.14666666666666667]",[0.48148148148148145],"[81.66666666666667, 86.33333333333333, 84.66666666666667, 84.33333333333334, 85.33333333333334]","[0.7802616988245731, 0.8466777206654507, 0.8256127672387835, 0.8140010794340488, 0.8299276261373035]",[51.85185185185185],0.3898417491736198,3.0,3.0,62.0,67.0
Random forest,prune,"[0.05333333333333334, 0.03333333333333333, 0.03333333333333333, 0.02666666666666667, 0.03]",[0.2518518518518518],"[94.66666666666667, 96.66666666666667, 96.66666666666667, 97.33333333333334, 97.0]","[0.9465645933014353, 0.9666028708133971, 0.9664807664807665, 0.9732731554160126, 0.9699126307841656]",[74.81481481481481],0.7224864442606379,8.0,14.0,26.0,87.0
Random forest,weight normalisation,"[0.19666666666666666, 0.20666666666666667, 0.20333333333333334, 0.24, 0.21]",[0.31851851851851853],"[80.33333333333333, 79.33333333333333, 79.66666666666666, 76.0, 79.0]","[0.8012929157861642, 0.7892454212454212, 0.7948561104658666, 0.7559252971137521, 0.7858405663868957]",[68.14814814814815],0.6958057637573328,25.0,7.0,18.0,85.0
Random forest,weight decay,"[0.015, 0.01, 0.013333333333333334, 0.006666666666666667, 0.013333333333333334]",[0.5148148148148148],"[97.0, 99.0, 98.66666666666667, 99.33333333333333, 98.66666666666667]","[0.9847575891350074, 0.990036108250301, 0.9866967556253271, 0.9933475977436297, 0.9867284346097612]",[45.925925925925924],0.47327703116202785,33.0,9.0,34.0,59.0
Random forest,weight perturbation,"[0.2733333333333333, 0.24666666666666667, 0.24666666666666667, 0.25333333333333335, 0.26]",[0.15555555555555556],"[72.66666666666667, 75.33333333333333, 75.33333333333333, 74.66666666666667, 74.0]","[0.6116344916344917, 0.6473510773130545, 0.6473510773130545, 0.6383715012722646, 0.6294252873563217]",[84.44444444444444],0.7732262382864792,0.0,0.0,21.0,114.0
svm,baseline,"[0.17666666666666667, 0.17333333333333334, 0.18666666666666668, 0.17, 0.17333333333333334]",[0.3851851851851852],"[82.33333333333334, 82.66666666666667, 81.33333333333333, 83.0, 82.66666666666667]","[0.8048978260742966, 0.8118526647918238, 0.8082436418719605, 0.7981713840667336, 0.795587054098748]",[61.48148148148148],0.6700864857727603,40.0,7.0,12.0,76.0
svm,batch normalisation,"[0.33, 0.32, 0.38, 0.33666666666666667, 0.4033333333333333]",[0.4074074074074074],"[67.0, 68.0, 62.0, 66.33333333333333, 59.66666666666667]","[0.6708291327892133, 0.6784795321637428, 0.6215800415800415, 0.660906897624622, 0.5956976939909105]",[59.25925925925925],0.5984089215756965,29.0,7.0,26.0,73.0
svm,dropout,"[0.056666666666666664, 0.04666666666666667, 0.043333333333333335, 0.043333333333333335, 0.06333333333333334]",[0.4666666666666667],"[94.33333333333334, 95.33333333333334, 95.66666666666667, 95.66666666666667, 93.66666666666667]","[0.9381607910785005, 0.9512564190345774, 0.9544380952380952, 0.9550001737015806, 0.9321328224776502]",[53.333333333333336],0.5724108293940696,47.0,14.0,16.0,58.0
svm,layer normalisation,"[0.31333333333333335, 0.2733333333333333, 0.30666666666666664, 0.35333333333333333, 0.29333333333333333]",[0.5851851851851851],"[68.66666666666667, 72.66666666666667, 69.33333333333334, 64.66666666666666, 70.66666666666667]","[0.6866666666666666, 0.7266666666666667, 0.6933333333333334, 0.6466666666666666, 0.7066666666666667]",[41.48148148148148],0.3996952927770538,30.0,16.0,49.0,40.0
svm,prune,"[0.5166666666666667, 0.5366666666666666, 0.45, 0.47, 0.4866666666666667]",[0.5037037037037037],"[48.333333333333336, 46.33333333333333, 55.00000000000001, 53.0, 51.33333333333333]","[0.4828878836909921, 0.4628989077769565, 0.5504, 0.528511846271427, 0.5121468729787552]",[49.629629629629626],0.5172459982586565,50.0,22.0,18.0,45.0
svm,weight normalisation,"[0.17333333333333334, 0.15333333333333332, 0.15333333333333332, 0.15666666666666668, 0.13]",[0.6],"[82.66666666666667, 84.66666666666667, 84.66666666666667, 84.33333333333334, 87.0]","[0.8237666237666237, 0.8469029937882397, 0.8450063323201621, 0.8419830587097956, 0.8700886510477468]",[40.0],0.4290691886510702,77.0,21.0,4.0,33.0
svm,weight decay,"[0.11, 0.11666666666666667, 0.10666666666666667, 0.11333333333333333, 0.14666666666666667]",[0.35555555555555557],"[89.0, 88.33333333333333, 89.33333333333333, 88.66666666666667, 85.33333333333334]","[0.8895284439809988, 0.8834564666205674, 0.8927865721895573, 0.8869717129653142, 0.8533333333333334]",[64.44444444444444],0.6395548636337427,22.0,17.0,26.0,70.0
svm,weight perturbation,"[0.37666666666666665, 0.37333333333333335, 0.4033333333333333, 0.39666666666666667, 0.4033333333333333]",[0.35555555555555557],"[62.33333333333333, 62.66666666666667, 59.66666666666667, 60.333333333333336, 59.66666666666667]","[0.6224869417699668, 0.6266666666666667, 0.5957399648601163, 0.6024615898956228, 0.5958556168798756]",[64.44444444444444],0.6846980976013234,34.0,7.0,14.0,80.0
