model type,technique,training loses,testing loses,training accuracies,training f1,testing accuracies,testing f1,testing true positives,testing true negatives,testing false positives,testing false negatives
KNN,weight perturbation,0.004666666666666667,0.4,99.53333333333333,0.9892277262898272,60.0,0.18181818181818182,6.0,75.0,25.0,29.0
Neural Network,baseline,0.3386666666666666,0.2074074074074074,66.13333333333333,0.07213114754098361,79.25925925925927,0.0,0.0,107.0,0.0,28.0
Neural Network,batch normalisation,0.10733333333333332,0.3333333333333333,89.26666666666668,0.7708202632294505,66.66666666666666,0.0,0.0,90.0,25.0,20.0
Neural Network,dropout,0.6839999999999999,0.8518518518518519,31.599999999999994,0.25615908161884193,14.814814814814813,0.25806451612903225,20.0,0.0,115.0,0.0
Neural Network,layer normalisation,0.068,0.45925925925925926,93.2,0.8649453002415012,54.074074074074076,0.20512820512820512,8.0,65.0,17.0,45.0
Neural Network,prune,0.15733333333333335,0.26666666666666666,84.26666666666667,0.7605820301985884,73.33333333333333,0.45454545454545453,15.0,84.0,15.0,21.0
Neural Network,weight normalisation,0.152,0.34074074074074073,84.80000000000001,0.7648977448976243,65.92592592592592,0.4772727272727273,21.0,68.0,25.0,21.0
Neural Network,weight decay,0.164,0.2740740740740741,83.6,0.7430082052010831,72.5925925925926,0.4931506849315068,18.0,80.0,17.0,20.0
Neural Network,weight perturbation,0.13,0.2740740740740741,87.0,0.5896736493148993,72.5925925925926,0.0,0.0,98.0,2.0,35.0
Random forest,baseline,0.19,0.2074074074074074,80.99999999999999,0.2742663307315942,79.25925925925927,0.0,0.0,107.0,0.0,28.0
Random forest,batch normalisation,0.016,0.13333333333333333,98.13333333333333,0.9706348153469108,86.66666666666667,0.3076923076923077,4.0,113.0,2.0,16.0
Random forest,dropout,0.11599999999999999,0.14814814814814814,88.4,0.5501006643177314,85.18518518518519,0.0,0.0,115.0,0.0,20.0
Random forest,layer normalisation,0.002666666666666667,0.4666666666666667,99.73333333333333,0.9951023466263953,53.333333333333336,0.11267605633802817,4.0,68.0,14.0,49.0
Random forest,prune,0.047333333333333324,0.23703703703703705,95.26666666666668,0.9367957172439618,76.29629629629629,0.3333333333333333,8.0,95.0,4.0,28.0
Random forest,weight normalisation,0.21200000000000002,0.4222222222222222,78.8,0.6405079395803808,57.77777777777777,0.14925373134328357,5.0,73.0,20.0,37.0
Random forest,weight decay,0.168,0.2,83.2,0.725258836262749,80.0,0.509090909090909,14.0,94.0,3.0,24.0
Random forest,weight perturbation,0.1913333333333333,0.25925925925925924,80.86666666666666,0.2203361550086922,74.07407407407408,0.0,0.0,100.0,0.0,35.0
svm,baseline,0.14733333333333332,0.37037037037037035,85.26666666666668,0.5667854385616886,62.96296296296296,0.13793103448275862,4.0,81.0,26.0,24.0
svm,batch normalisation,0.14133333333333337,0.2518518518518518,85.86666666666666,0.7029794422213284,74.81481481481481,0.34615384615384615,9.0,92.0,23.0,11.0
svm,dropout,0.05733333333333333,0.2740740740740741,94.26666666666667,0.8298530173530173,72.5925925925926,0.0975609756097561,2.0,96.0,19.0,18.0
svm,layer normalisation,0.05733333333333333,0.362962962962963,94.26666666666668,0.8902548014020006,63.70370370370371,0.2222222222222222,7.0,79.0,3.0,46.0
svm,prune,0.05466666666666666,0.4444444444444444,94.53333333333335,0.9268872321798387,55.55555555555556,0.3333333333333333,15.0,60.0,39.0,21.0
svm,weight normalisation,0.10666666666666666,0.4888888888888889,89.33333333333334,0.8449075820475052,51.11111111111111,0.4406779661016949,26.0,43.0,50.0,16.0
svm,weight decay,0.24666666666666667,0.3111111111111111,75.33333333333334,0.591177629088699,68.88888888888889,0.4473684210526316,17.0,76.0,21.0,21.0
svm,weight perturbation,0.12466666666666668,0.37037037037037035,87.53333333333333,0.636115098484151,62.96296296296296,0.13793103448275862,4.0,81.0,19.0,31.0
