dataset_name,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,SMOTE_testing_loss,layer_normalisation_testing_loss,batch_normalisation_testing_loss,weight_decay_testing_loss,baseline_testing_loss,dropout_testing_loss,prune_testing_loss,weight_normalisation_testing_loss,weight_perturbation_testing_loss
Agaricus Lepiota,21.0,0.5714285714285714,3587.0,2.0,170.8095238095238,0.0952380952380952,1793.5,0.9305705059203444,0.238095238095238,0.1459794187867348,0.0049427289573821,0.6448700275690574,1.157172371794345,-0.774103718588238,-1,1,2,3,3,4,3,4,3
Agaricus Lepiota,21.0,0.5714285714285714,4133.0,2.0,196.8095238095238,0.0952380952380952,2066.5,0.9304063521718824,0.2857142857142857,0.1432565095826004,0.0021531995051706,0.6279883898663339,1.1540257823751907,-0.7698111112115381,-1,1,2,4,4,4,3,5,3
Agaricus Lepiota,21.0,0.5714285714285714,5448.0,2.0,259.42857142857144,0.0952380952380952,2724.0,0.930545712260808,0.2857142857142857,0.1439555125361024,0.0068706459690272,0.6276106870055941,1.1548327318026483,-0.7709279451210892,-1,1,2,3,5,3,5,4,3
Agaricus Lepiota,21.0,0.5714285714285714,6225.0,2.0,296.42857142857144,0.0952380952380952,3112.5,0.9308312655086848,0.2857142857142857,0.1450128320343162,0.0049603611262907,0.6315630840553617,1.156054404702636,-0.7725963513948494,-1,1,2,3,4,4,3,4,3
Agaricus Lepiota,21.0,0.5714285714285714,7311.0,2.0,348.1428571428572,0.0952380952380952,3655.5,0.9305518880380248,0.2857142857142857,0.143470763454903,0.0047972959051083,0.626344671167488,1.1542730633573095,-0.7701539327357069,-1,1,2,5,2,3,4,5,4
Ann thyroid,15.0,1.0,7129.0,3.0,475.26666666666665,0.2,2376.333333333333,0.0251705837755875,0.9333333333333332,0.0373727179520655,0.0,0.2371866785190779,1.0380798597421803,-0.4424240096734118,-1,5,3,3,4,4,1,2,4
Ann thyroid,16.0,1.0,7129.0,3.0,445.5625,0.1875,2376.333333333333,0.0251705837755875,0.9375,0.0345784390044225,0.0,0.2348058895461078,1.0351832239331036,-0.4350309717028244,-1,5,4,2,3,2,1,3,2
Ann thyroid,17.0,1.0,7129.0,3.0,419.3529411764706,0.1764705882352941,2376.333333333333,0.0251705837755875,0.9411764705882352,0.0268885384690835,0.0,0.2357733874353009,1.0272532971569828,-0.3161924545543849,-1,5,3,2,2,4,1,4,3
Ann thyroid,17.0,1.0,7129.0,3.0,419.3529411764706,0.1764705882352941,2376.333333333333,0.0251705837755875,0.9411764705882352,0.0217985048776764,0.0,0.2357733874353009,1.0220378280843423,-0.1565207983601904,-1,4,4,1,1,3,2,1,2
Ann thyroid,16.0,1.0,7129.0,3.0,445.5625,0.1875,2376.333333333333,0.0251705837755875,0.9375,0.0282564361799256,0.0,0.2373497592956193,1.028659436098481,-0.3086266449184911,-1,6,5,1,4,5,1,3,2
Ann thyroid,13.0,1.0,7129.0,3.0,548.3846153846154,0.2307692307692307,2376.333333333333,0.0251705837755875,0.9230769230769232,0.0169156369773925,0.0,0.1060055582025767,1.017059516490889,0.4214065035597819,-1,3,1,1,4,2,5,2,5
Ann thyroid,12.0,1.0,7129.0,3.0,594.0833333333334,0.25,2376.333333333333,0.0251705837755875,1.0,0.0444060294795942,0.0,0.2357689333103677,1.045406734679707,-0.4134205853482439,-1,3,5,1,2,3,1,1,4
Ann thyroid,21.0,1.0,422.0,3.0,20.09523809523809,0.1428571428571428,140.66666666666666,0.0256410256410256,0.8571428571428571,0.0269460278719964,0.0,0.2353459652246923,1.0273123550332612,-0.4423424294579802,-1,2,3,2,2,4,1,1,3
Ann thyroid,21.0,1.0,1449.0,3.0,69.0,0.1428571428571428,483.0,0.0253731343283582,0.8571428571428571,0.0273481901563845,0.0,0.235951873537177,1.027725584403806,-0.4538955947148188,-1,5,2,2,1,3,2,2,4
Ann thyroid,21.0,1.0,2335.0,3.0,111.1904761904762,0.1428571428571428,778.3333333333334,0.025,0.8571428571428571,0.0265731606436461,0.0,0.2384453755731475,1.026929375327518,-0.4398871661559713,-1,3,2,1,1,1,1,1,2
Ann thyroid,21.0,1.0,3388.0,3.0,161.33333333333334,0.1428571428571428,1129.3333333333333,0.0252074026802807,0.8571428571428571,0.0267337414412951,0.0,0.2357676071336898,1.027094293706745,-0.4428553182390935,-1,6,5,3,4,3,1,2,4
Ann thyroid,21.0,1.0,3745.0,3.0,178.33333333333334,0.1428571428571428,1248.3333333333333,0.0251082251082251,0.8571428571428571,0.0263208900131988,0.0,0.2346556448958434,1.026670343880966,-0.4353070833246273,-1,3,3,3,2,3,1,2,2
Ann thyroid,21.0,1.0,4718.0,3.0,224.66666666666663,0.1428571428571428,1572.6666666666667,0.0252004581901489,0.9047619047619048,0.0272396012645338,0.0,0.2358951194157714,1.027613990880487,-0.4539658003166125,-1,6,4,3,5,5,1,2,4
Ann thyroid,21.0,1.0,6213.0,3.0,295.85714285714283,0.1428571428571428,2071.0,0.0252305550722115,0.9047619047619048,0.0266185467742278,0.0,0.2364734637249238,1.026975984735947,-0.440241847367544,-1,7,5,4,3,4,1,2,6
Ann thyroid,21.0,1.0,6416.0,3.0,305.5238095238095,0.1428571428571428,2138.6666666666665,0.0251010781671159,0.9047619047619048,0.0270243706272861,0.0,0.2344740487899621,1.0273928406663897,-0.4497805920901787,-1,5,4,1,3,3,1,2,2
Car evaluation,6.0,1.0,518.0,3.0,86.33333333333333,0.5,172.66666666666666,0.1692708333333333,0.0,0.0666915567454591,0.0,0.1603448023852709,1.068965712056928,0.8764804656164826,-1,4,3,3,3,2,1,1,2
Car evaluation,6.0,1.0,1663.0,3.0,277.1666666666667,0.5,554.3333333333334,0.0570247933884297,0.0,0.067678387697435,0.0025042895255817,0.158671469182023,1.0700211211777308,0.7284340642056562,-1,3,5,3,4,1,2,2,3
Car evaluation,6.0,1.0,1275.0,2.0,212.5,0.3333333333333333,637.5,0.0537190082644628,0.0,0.0320560216304906,0.0009691850527067,0.077290505114135,1.0325753502395445,0.0470830047750234,-1,3,5,4,3,4,3,1,2
Car evaluation,5.0,1.0,1728.0,4.0,345.6,0.8,432.0,0.0537190082644628,0.0,0.0859168334752809,0.0,0.1869294860386592,1.089715696668998,0.945499898084598,3,1,1,1,1,2,1,1,1
Car evaluation,5.0,1.0,1728.0,4.0,345.6,0.8,432.0,0.0537190082644628,0.0,0.0592775406031278,0.0,0.1869294860386592,1.0610696897991518,1.8198064405035488,6,5,1,4,3,1,1,2,4
Car evaluation,3.0,1.0,1728.0,4.0,576.0,1.3333333333333333,432.0,0.0537190082644628,0.0,0.0953291194058301,0.0678334381269571,0.1479710965620042,1.1000208337589468,1.922352788803935,4,2,3,2,3,2,1,2,3
Car evaluation,4.0,1.0,1728.0,4.0,432.0,1.0,432.0,0.0537190082644628,0.0,0.07763592697349,0.0269422904069152,0.164405209618879,1.0807291227139728,1.6912667447602392,5,3,3,3,4,2,1,2,3
Car evaluation,4.0,1.0,1728.0,4.0,432.0,1.0,432.0,0.0537190082644628,0.0,0.0737320140116815,0.0269422904069152,0.1487895577716449,1.0765182750230098,1.8337621216922888,4,3,2,3,3,2,1,2,3
Car evaluation,5.0,1.0,1728.0,4.0,345.6,0.8,432.0,0.0537190082644628,0.0,0.0592775406031278,0.0,0.1869294860386592,1.0610696897991518,1.8198064405035488,4,3,2,3,3,2,1,3,3
Car evaluation,6.0,1.0,144.0,2.0,24.0,0.3333333333333333,72.0,0.3211009174311927,0.0,0.0504199507300027,0.0,0.1572758282063624,1.0517126711537137,0.8331912826118612,-1,1,1,2,2,1,1,1,2
Car evaluation,6.0,1.0,375.0,4.0,62.5,0.6666666666666666,93.75,0.053231939163498,0.0,0.0890413972908733,0.0064561880608289,0.1896133018263857,1.0931259078408468,0.5612684172863095,3,1,2,2,2,2,1,1,1
Car evaluation,6.0,1.0,841.0,4.0,140.16666666666666,0.6666666666666666,210.25,0.0543293718166383,0.0,0.0802018820917678,0.0062466355344938,0.1990223582537105,1.0835057860110806,0.7355947998908962,5,1,4,2,2,1,3,1,3
Car evaluation,6.0,1.0,989.0,4.0,164.83333333333334,0.6666666666666666,247.25,0.0533910533910533,0.0,0.0738153370890438,0.0116523106680752,0.1609458834233266,1.076607977575616,0.8830546125544448,6,2,4,3,4,2,1,5,5
Car evaluation,6.0,1.0,1253.0,4.0,208.8333333333333,0.6666666666666666,313.25,0.0535917901938426,0.0,0.076962888934208,2.828900399776124e-05,0.1744294699064581,1.08000199562377,0.8101354223008213,5,1,4,2,2,2,3,2,2
Car evaluation,6.0,1.0,1513.0,4.0,252.16666666666663,0.6666666666666666,378.25,0.0537735849056603,0.0,0.0808574186351623,0.0025280813941017,0.18144729138478,1.0842162965061437,0.7210740268781021,5,1,4,2,2,2,3,3,3
Churn,16.0,0.8125,5000.0,2.0,312.5,0.125,2500.0,0.1646866992778942,0.6875,0.0075489766683917,0.0,0.0557945391253129,1.0075775420272632,2.373774949748162,-1,1,1,2,1,1,1,1,1
Churn,19.0,0.8421052631578947,5000.0,2.0,263.1578947368421,0.1052631578947368,2500.0,0.1646866992778942,0.7368421052631579,0.0112394596638123,0.0,0.0583878526431156,1.011302859695305,0.9082054900635372,-1,1,1,2,1,1,1,1,1
Churn,15.0,0.8,5000.0,2.0,333.3333333333333,0.1333333333333333,2500.0,0.1646866992778942,0.7333333333333333,0.0093447616557449,0.0,0.0582720516659795,1.009388560263823,1.907131568057598,-1,1,1,2,1,1,1,1,1
Churn,13.0,0.8461538461538461,5000.0,2.0,384.61538461538464,0.1538461538461538,2500.0,0.1646866992778942,0.7692307692307693,0.0140117830586158,0.0,0.0579106403905003,1.0141104081904757,1.2371104068195378,-1,1,1,2,1,1,1,1,1
Churn,17.0,0.8823529411764706,5000.0,2.0,294.11764705882354,0.1176470588235294,2500.0,0.1646866992778942,0.7647058823529411,0.0114793963397602,0.0,0.0596980642519804,1.0115455374543203,1.0881236056220245,-1,1,1,2,1,1,1,1,1
Churn,18.0,0.8333333333333334,5000.0,2.0,277.77777777777777,0.1111111111111111,2500.0,0.1646866992778942,0.7222222222222222,0.0115826431892876,0.0,0.0596980642519804,1.0116499817358948,0.954537431671582,-1,1,1,2,1,1,1,1,1
Churn,10.0,0.9,5000.0,2.0,500.0,0.2,2500.0,0.1646866992778942,0.8,0.0030504234272015,0.0,0.0252128567873437,1.003055080703095,12.358695401008172,-1,1,1,2,1,1,1,1,1
Churn,20.0,0.85,610.0,2.0,30.5,0.1,305.0,0.1641221374045801,0.75,0.0161541384606342,0.0,0.0894764937028289,1.0162853219890204,0.258949857453524,-1,2,2,3,2,2,1,2,2
Churn,20.0,0.85,1300.0,2.0,65.0,0.1,650.0,0.1648745519713261,0.75,0.0110542563879387,0.0,0.0559662372207419,1.0111155804356908,0.8442961034809328,-1,1,1,2,1,1,1,1,1
Churn,20.0,0.85,1687.0,2.0,84.35,0.1,843.5,0.1650552486187845,0.75,0.0131025256217141,0.0,0.0752745701941051,1.0131887398403887,0.5568997210894073,-1,1,1,2,1,1,1,1,1
Churn,20.0,0.85,2428.0,2.0,121.4,0.1,1214.0,0.1645083932853717,0.75,0.0109529564663073,0.0,0.0467943688138565,1.0110131596943266,0.8591308069805417,-1,1,1,2,1,1,1,1,1
Churn,20.0,0.85,2717.0,2.0,135.85,0.1,1358.5,0.1645949421345906,0.75,0.0121725905630278,0.0,0.0633130633366112,1.012246978066658,0.6733280211218428,-1,1,1,2,1,1,1,1,1
Churn,20.0,0.85,3490.0,2.0,174.5,0.1,1745.0,0.1644978311644978,0.75,0.0126651749103211,0.0,0.0581759745470409,1.0127457179092842,0.6077374428721438,-1,1,1,2,1,1,1,1,1
Churn,20.0,0.85,4316.0,2.0,215.8,0.1,2158.0,0.1645979492714517,0.75,0.0115009748452903,0.0,0.0562073857249034,1.0115673653308,0.7710617727339725,-1,1,1,2,1,1,1,1,1
Churn,20.0,0.85,4500.0,2.0,225.0,0.1,2250.0,0.1645962732919254,0.75,0.009988952343899,0.0,0.0558787335613388,1.010039008458916,1.039135308634543,-1,1,1,2,1,1,1,1,1
Dry Bean,16.0,1.0,6523.0,3.0,407.6875,0.1875,2174.333333333333,0.7056145675265554,0.75,0.5753581678301876,0.195286715727631,0.9522567835959652,1.7777671519013127,-0.8819069566123781,-1,3,1,2,3,4,2,3,3
Dry Bean,16.0,1.0,7504.0,3.0,469.0,0.1875,2501.333333333333,0.3728144388042865,1.0,0.4379523056503611,0.0096126386881683,0.8352404526233861,1.5495310017837067,-0.853349375670897,-1,1,1,2,1,2,1,1,2
Dry Bean,16.0,1.0,9672.0,4.0,604.5,0.25,2418.0,0.4596728708403835,1.0,0.6593633975964464,0.0836048614311759,0.9520521062253644,1.9335610329179,-0.8730489187444013,4,1,1,1,2,2,1,3,2
Dry Bean,16.0,1.0,4496.0,2.0,281.0,0.125,2248.0,0.7056145675265554,0.6875,0.3418228346106977,0.0323231117267264,0.5865628926653068,1.4075109132047356,-0.8759998508221235,-1,1,2,1,1,2,2,3,1
Dry Bean,16.0,1.0,5573.0,2.0,348.3125,0.125,2786.5,0.571630005640158,1.0,0.3011609854291416,0.0233072770092688,0.5464433086751388,1.351426884063842,-0.8639582659545428,-1,3,2,1,1,2,1,1,1
Dry Bean,8.0,1.0,13543.0,7.0,1692.875,0.875,1934.7142857142856,0.1472081218274111,1.0,0.6976845815228594,0.1972448501214692,1.037781963937348,2.009095421107362,-0.6714485114509613,4,3,1,2,3,3,2,3,3
Dry Bean,11.0,1.0,13543.0,7.0,1231.1818181818182,0.6363636363636364,1934.7142857142856,0.1472081218274111,1.0,0.8408838123696639,0.1972732651281021,1.0551612839038398,2.318415115519707,-0.801745125415493,5,3,1,2,4,3,2,1,3
Dry Bean,8.0,1.0,13543.0,7.0,1692.875,0.875,1934.7142857142856,0.1472081218274111,1.0,0.844170665520609,0.1972633098423584,1.0552091090806586,2.326047942666623,-0.7284609414191348,4,3,1,2,2,3,2,2,2
Dry Bean,10.0,1.0,13543.0,7.0,1354.3,0.7,1934.7142857142856,0.1472081218274111,1.0,0.7887901664004489,0.2305798804898517,1.0554279849096848,2.2007322951289536,-0.7675170735526876,4,1,2,3,2,3,2,1,1
Dry Bean,13.0,1.0,13543.0,7.0,1041.7692307692307,0.5384615384615384,1934.7142857142856,0.1472081218274111,1.0,0.771235856847173,0.1972640352676573,1.0368202858251676,2.1624370657286254,-0.8170965125353873,5,2,2,3,2,4,1,1,1
Dry Bean,16.0,1.0,1951.0,7.0,121.9375,0.4375,278.7142857142857,0.146771037181996,0.9375,0.8144024213827905,0.2351558368647714,1.0771998365881528,2.257826040571094,-0.859290525372989,3,2,1,1,1,1,2,1,2
Dry Bean,16.0,1.0,2801.0,7.0,175.0625,0.4375,400.1428571428572,0.1473396998635743,1.0,0.7919217637180359,0.1864238256511501,1.0274532043907694,2.207634904937186,-0.8552567487862216,5,2,1,2,3,4,1,2,2
Dry Bean,16.0,1.0,7632.0,7.0,477.0,0.4375,1090.2857142857142,0.1471471471471471,1.0,0.8003641785919835,0.2092788860726413,1.0603342576382426,2.2263515704544723,-0.8568004992725624,4,1,3,3,2,2,1,1,1
Dry Bean,16.0,1.0,9410.0,7.0,588.125,0.4375,1344.2857142857142,0.1473214285714285,1.0,0.7959482385225858,0.2029090018672521,1.05523588824472,2.216541810942271,-0.8559988720821003,4,1,1,2,1,3,1,2,3
Dry Bean,16.0,1.0,10935.0,7.0,683.4375,0.4375,1562.142857142857,0.1473978344393992,1.0,0.7992237570758779,0.1955160422979536,1.0577367364223065,2.223814038424192,-0.856590033434041,4,3,3,1,2,2,1,1,2
Indian Engineering Student Placement,21.0,0.6666666666666666,3994.0,2.0,190.1904761904762,0.0952380952380952,1997.0,0.1671537112799532,0.2857142857142857,0.0207817284056936,0.0,0.0628722662918792,1.0209991721971872,-0.0587962114683383,-1,2,4,1,2,3,2,2,2
Indian Engineering Student Placement,16.0,0.6875,3994.0,2.0,249.625,0.125,1997.0,0.1671537112799532,0.3125,0.0258026407022004,0.0,0.0670988399436001,1.0261384105315787,-0.005051759038213,-1,1,3,1,3,1,3,2,1
Indian Engineering Student Placement,17.0,0.7058823529411765,3994.0,2.0,234.94117647058823,0.1176470588235294,1997.0,0.1671537112799532,0.2941176470588235,0.0188873218682429,0.0,0.0576037155473543,1.019066815603027,0.2792791548263769,-1,3,4,1,2,2,2,2,3
Indian Engineering Student Placement,11.0,0.7272727272727273,3994.0,2.0,363.09090909090907,0.1818181818181818,1997.0,0.1671537112799532,0.2727272727272727,0.0264261286302161,0.0,0.0628000549351759,1.0267783949335607,0.4130528208685141,-1,3,4,1,3,2,2,2,2
Indian Engineering Student Placement,11.0,0.6363636363636364,3994.0,2.0,363.09090909090907,0.1818181818181818,1997.0,0.1671537112799532,0.1818181818181818,0.016456059479004,4.007883517828659e-06,0.0537702026960185,1.0165922062134571,1.2691650849466345,-1,2,3,1,3,2,2,3,3
Indian Engineering Student Placement,13.0,0.6923076923076923,3994.0,2.0,307.2307692307692,0.1538461538461538,1997.0,0.1671537112799532,0.3076923076923077,0.0182143597596997,0.0,0.0657241290963819,1.018381252954768,0.7347119233237529,-1,3,4,1,2,4,3,2,2
Indian Engineering Student Placement,16.0,0.625,3994.0,2.0,249.625,0.125,1997.0,0.1671537112799532,0.1875,0.0166446037640727,2.8105617905782587e-06,0.0484997355573977,1.0167838969347112,0.5423792805591875,-1,2,4,1,2,3,3,4,2
Indian Engineering Student Placement,22.0,0.6818181818181818,296.0,2.0,13.454545454545457,0.0909090909090909,148.0,0.1653543307086614,0.2272727272727272,0.023452439178392,0.0,0.0876759099563071,1.0237296101673925,-0.2084889802658792,-1,2,3,2,1,2,3,1,2
Indian Engineering Student Placement,22.0,0.6818181818181818,876.0,2.0,39.81818181818182,0.0909090909090909,438.0,0.166444740346205,0.3181818181818182,0.0233490171402695,0.0,0.0829698170118096,1.0236237394394003,-0.2021778028379085,-1,4,4,1,2,1,3,1,2
Indian Engineering Student Placement,22.0,0.6818181818181818,1178.0,2.0,53.54545454545455,0.0909090909090909,589.0,0.1674925668979187,0.2727272727272727,0.0236701327297719,0.0,0.084183662183169,1.0239524937611628,-0.2103565031701737,-1,3,4,1,3,3,2,3,2
Indian Engineering Student Placement,22.0,0.6818181818181818,2019.0,2.0,91.77272727272728,0.0909090909090909,1009.5,0.1670520231213872,0.2727272727272727,0.0201512394138994,0.0,0.0642176082596299,1.0203556463477856,-0.0737697959419016,-1,3,4,1,3,1,2,2,2
Indian Engineering Student Placement,22.0,0.6818181818181818,2312.0,2.0,105.0909090909091,0.0909090909090909,1156.0,0.1670873296314992,0.2727272727272727,0.0237911220389972,0.0,0.0816622711431234,1.0240763885608846,-0.2153882080876661,-1,4,4,1,3,2,3,2,1
Indian Engineering Student Placement,22.0,0.6818181818181818,2883.0,2.0,131.04545454545453,0.0909090909090909,1441.5,0.1672064777327935,0.2727272727272727,0.0230587679243304,0.0,0.0758923034173226,1.02332667656483,-0.1901602456983222,-1,1,3,1,1,2,1,2,2
Indian Engineering Student Placement,22.0,0.6818181818181818,3219.0,2.0,146.3181818181818,0.0909090909090909,1609.5,0.1671501087744742,0.2727272727272727,0.0210560780893032,0.0,0.0625276827090053,1.021279321424714,-0.1132943802591776,-1,2,3,2,1,2,1,1,2
Indian Engineering Student Placement,22.0,0.6818181818181818,3524.0,2.0,160.1818181818182,0.0909090909090909,1762.0,0.1672739317654852,0.2727272727272727,0.0220747087625006,0.0,0.0653960328419327,1.0223201578913963,-0.1538764274214691,-1,2,5,1,3,3,4,3,2
Led7,7.0,1.0,238.0,7.0,34.0,1.0,34.0,0.7435897435897436,0.0,0.062722040317989,0.0335729623791554,0.0887053346880688,1.0647308458487583,3.418372552823985,1,4,3,2,4,3,1,3,3
Led7,7.0,1.0,108.0,3.0,15.428571428571429,0.4285714285714285,36.0,0.8461538461538461,0.0,0.0389426952124458,0.0,0.0924121874497172,1.0397109015306738,3.021641033680868,-1,3,3,3,2,1,2,2,1
Led7,7.0,1.0,300.0,9.0,42.85714285714285,1.2857142857142858,33.333333333333336,0.7435897435897436,0.0,0.0662502035996871,0.0,0.106384161261102,1.0684940247751789,3.727859243342103,4,5,6,2,6,3,1,6,5
Led7,7.0,1.0,233.0,7.0,33.285714285714285,1.0,33.285714285714285,0.7435897435897436,0.0,0.0658538040000335,0.0025131867426049,0.1157567373009436,1.0680705581080792,3.209102784619178,2,5,4,3,4,3,1,6,4
Led7,7.0,1.0,300.0,9.0,42.85714285714285,1.2857142857142858,33.333333333333336,0.7435897435897436,0.0,0.0425683087248451,0.0,0.1139687640693116,1.0434873332283598,6.358094480255078,2,5,4,2,3,1,1,3,3
Led7,3.0,1.0,336.0,10.0,112.0,3.333333333333333,33.6,0.7435897435897436,0.0,0.0707284168762667,0.0230074967738569,0.1169171323018436,1.073289698914147,9.830795287603047,4,1,2,2,1,2,3,1,1
Led7,3.0,1.0,336.0,10.0,112.0,3.333333333333333,33.6,0.7435897435897436,0.0,0.1030811509715659,0.0722606215530996,0.1200656990597544,1.1085813678808991,6.43147507553928,3,2,1,1,2,4,3,2,1
Led7,3.0,1.0,336.0,10.0,112.0,3.333333333333333,33.6,0.7435897435897436,0.0,0.0900445340837915,0.0331507708897764,0.1200656990597544,1.094223012839489,7.507401498576755,4,1,1,3,1,3,2,1,2
Led7,6.0,1.0,336.0,10.0,56.0,1.6666666666666667,33.6,0.7435897435897436,0.0,0.0372237686065908,0.0,0.0723933108986814,1.0379252499413214,9.2897292896273,1,5,4,2,4,3,1,5,5
Led7,4.0,1.0,336.0,10.0,84.0,2.5,33.6,0.7435897435897436,0.0,0.0437467054098744,0.0023196280394914,0.085927676433859,1.0447177000304109,12.133189065767612,2,3,3,1,3,3,1,3,3
Led7,7.0,1.0,87.0,8.0,12.428571428571429,1.1428571428571428,10.875,0.8333333333333334,0.0,0.0825724722043797,0.0,0.2902819373818137,1.0860773810088953,2.593164423885198,2,3,3,1,2,1,2,1,2
Led7,7.0,1.0,156.0,10.0,22.285714285714285,1.4285714285714286,15.6,0.7222222222222222,0.0,0.0487036850921978,0.0,0.1446052431404298,1.049909200895072,5.740372102192082,2,1,3,1,1,3,1,1,3
Led7,7.0,1.0,234.0,10.0,33.42857142857143,1.4285714285714286,23.4,0.7407407407407407,0.0,0.0840756818289881,0.0,0.2170968751568454,1.0877112106676758,2.904572076273995,4,5,3,1,4,5,2,5,3
Led7,7.0,1.0,244.0,10.0,34.857142857142854,1.4285714285714286,24.4,0.7241379310344828,0.0,0.0596873417837546,0.0071128348283013,0.1401461629243385,1.061504606519365,4.498986754083348,3,7,6,4,6,2,1,5,5
Led7,7.0,1.0,302.0,10.0,43.142857142857146,1.4285714285714286,30.2,0.7428571428571429,0.0,0.0515934190454308,0.0207239520156048,0.0861816976170817,1.052947547052412,5.364110499537052,1,4,4,1,3,2,1,3,3
Liver Cirrhosis,18.0,0.6111111111111112,217.0,3.0,12.055555555555555,0.1666666666666666,72.33333333333333,0.1081081081081081,0.5555555555555556,0.0430460486578017,0.0,0.1217402481425523,1.04398596789634,0.1168887083275724,-1,1,3,3,2,3,3,1,1
Liver Cirrhosis,18.0,0.6111111111111112,264.0,3.0,14.666666666666666,0.1666666666666666,88.0,0.5315315315315315,0.5555555555555556,0.0364903163698136,0.000956942399853,0.1058995445110206,1.03716426045398,0.6242506957301154,-1,2,1,4,1,2,2,3,2
Liver Cirrhosis,18.0,0.6111111111111112,106.0,2.0,5.888888888888889,0.1111111111111111,53.0,0.1276595744680851,0.5,0.0501411725641607,0.0,0.1676215303947805,1.0514195174885757,-0.608694406232187,-1,3,2,4,1,4,1,2,4
Liver Cirrhosis,9.0,0.7777777777777778,276.0,4.0,30.666666666666668,0.4444444444444444,69.0,0.1081081081081081,0.6666666666666666,0.0418849977091065,0.0022577984714441,0.0823521375876894,1.0427745503926968,2.1814884803196763,4,1,1,2,3,1,2,1,1
Liver Cirrhosis,16.0,0.625,276.0,4.0,17.25,0.25,69.0,0.1081081081081081,0.5,0.0449752612644929,0.0003252063507837,0.1337593830516323,1.0460019828222422,0.6666241974875394,3,1,1,1,1,2,1,1,1
