model type,technique,training loses,testing loses,training accuracies,training f1,testing f1,testing accuracies,testing true positives,testing true negatives,testing false positives,testing false negatives
KNN,dropout,"[0.11, 0.14, 0.12333333333333334, 0.13666666666666666, 0.11666666666666667]","[0.26666666666666666, 0.2962962962962963, 0.2962962962962963, 0.2518518518518518, 0.23703703703703705]","[89.0, 86.0, 87.66666666666667, 86.33333333333333, 88.33333333333333]","[0.8706219372182242, 0.8276780185758513, 0.8440742713326441, 0.8321239954075775, 0.8579971032484999]","[0.7127272727272728, 0.6958908173861444, 0.6958908173861444, 0.7234734734734735, 0.7282560114418521]","[73.33333333333333, 70.37037037037037, 70.37037037037037, 74.81481481481481, 76.29629629629629]","[99.0, 95.0, 95.0, 101.0, 103.0]","[99.0, 95.0, 95.0, 101.0, 103.0]","[36.0, 40.0, 40.0, 34.0, 32.0]","[36.0, 40.0, 40.0, 34.0, 32.0]"
KNN,layer normalisation,"[0.0033333333333333335, 0.0033333333333333335, 0.0033333333333333335, 0.0, 0.0033333333333333335]","[0.6148148148148148, 0.6296296296296297, 0.6148148148148148, 0.5777777777777777, 0.5777777777777777]","[99.66666666666667, 99.66666666666667, 99.66666666666667, 100.0, 99.66666666666667]","[0.9966591764758405, 0.9966584774177598, 0.9966584774177598, 1.0, 0.9966595019812547]","[0.34967007548881124, 0.3387443021185245, 0.3543032597157357, 0.37635696040868455, 0.3910675381263617]","[38.51851851851852, 37.03703703703704, 38.51851851851852, 42.22222222222222, 42.22222222222222]","[52.0, 50.0, 52.0, 57.0, 57.0]","[52.0, 50.0, 52.0, 57.0, 57.0]","[83.0, 85.0, 83.0, 78.0, 78.0]","[83.0, 85.0, 83.0, 78.0, 78.0]"
KNN,prune,"[0.20333333333333334, 0.23, 0.23, 0.20333333333333334, 0.20333333333333334]","[0.37037037037037035, 0.4, 0.3851851851851852, 0.31851851851851853, 0.35555555555555557]","[79.66666666666666, 77.0, 77.0, 79.66666666666666, 79.66666666666666]","[0.7925061938264404, 0.7677554551103205, 0.7648731089842544, 0.7939745960053437, 0.7922501259972219]","[0.6202835488549775, 0.5935973955507325, 0.6118827160493826, 0.6607792999970046, 0.6279365079365079]","[62.96296296296296, 60.0, 61.48148148148148, 68.14814814814815, 64.44444444444444]","[85.0, 81.0, 83.0, 92.0, 87.0]","[85.0, 81.0, 83.0, 92.0, 87.0]","[50.0, 54.0, 52.0, 43.0, 48.0]","[50.0, 54.0, 52.0, 43.0, 48.0]"
KNN,weight normalisation,"[0.01, 0.013333333333333334, 0.013333333333333334, 0.013333333333333334, 0.01]","[0.37777777777777777, 0.562962962962963, 0.5037037037037037, 0.43703703703703706, 0.45925925925925926]","[98.0, 98.66666666666667, 98.66666666666667, 98.66666666666667, 99.0]","[0.989893048770241, 0.9866361904761904, 0.9866984359726295, 0.9867119411431804, 0.9899780311748092]","[0.659682142332862, 0.48962860697789373, 0.5522633744855967, 0.6107518453197466, 0.591710758377425]","[62.22222222222222, 43.7037037037037, 49.629629629629626, 56.2962962962963, 54.074074074074076]","[84.0, 59.0, 67.0, 76.0, 73.0]","[84.0, 59.0, 67.0, 76.0, 73.0]","[51.0, 76.0, 68.0, 59.0, 62.0]","[51.0, 76.0, 68.0, 59.0, 62.0]"
KNN,weight decay,"[0.006666666666666667, 0.013333333333333334, 0.01, 0.013333333333333334, 0.01]","[0.37037037037037035, 0.4148148148148148, 0.4074074074074074, 0.4, 0.4]","[99.33333333333333, 98.66666666666667, 99.0, 98.66666666666667, 99.0]","[0.99335216089003, 0.9867252747252748, 0.9900308064028994, 0.9867191827977649, 0.9900379704006317]","[0.5265993265993266, 0.5031498788508134, 0.5071490094745909, 0.520894526034713, 0.520894526034713]","[62.96296296296296, 58.51851851851851, 59.25925925925925, 60.0, 60.0]","[85.0, 79.0, 80.0, 81.0, 81.0]","[85.0, 79.0, 80.0, 81.0, 81.0]","[50.0, 56.0, 55.0, 54.0, 54.0]","[50.0, 56.0, 55.0, 54.0, 54.0]"
KNN,weight perturbation,"[0.0, 0.0033333333333333335, 0.0033333333333333335, 0.0033333333333333335, 0.0033333333333333335]","[0.2740740740740741, 0.2518518518518518, 0.23703703703703705, 0.22962962962962963, 0.3037037037037037]","[100.0, 99.66666666666667, 99.66666666666667, 99.66666666666667, 99.66666666666667]","[1.0, 0.9966598131826525, 0.9966595019812547, 0.996658100928568, 0.9966599637758669]","[0.7285091463761681, 0.7429468599033816, 0.7462488129154795, 0.7434172953160295, 0.704395061728395]","[72.5925925925926, 74.81481481481481, 76.29629629629629, 77.03703703703704, 69.62962962962963]","[98.0, 101.0, 103.0, 104.0, 94.0]","[98.0, 101.0, 103.0, 104.0, 94.0]","[37.0, 34.0, 32.0, 31.0, 41.0]","[37.0, 34.0, 32.0, 31.0, 41.0]"
Neural Network,baseline,"[0.17666666666666667, 0.14666666666666667, 0.16333333333333333, 0.16333333333333333, 0.14666666666666667]","[0.18518518518518517, 0.22962962962962963, 0.2222222222222222, 0.17037037037037037, 0.17037037037037037]","[82.33333333333334, 85.33333333333334, 83.66666666666667, 83.66666666666667, 85.33333333333334]","[0.8021655960786397, 0.8428372639378332, 0.8283226266952177, 0.8122874645151651, 0.832752185211434]","[0.7812833409541229, 0.7553964397846256, 0.7597455648926237, 0.7898533635676492, 0.7898533635676492]","[81.48148148148148, 77.03703703703704, 77.77777777777779, 82.96296296296296, 82.96296296296296]","[1.0, 1.0, 1.0, 1.0, 1.0]","[109.0, 103.0, 104.0, 111.0, 111.0]","[7.0, 13.0, 12.0, 5.0, 5.0]","[18.0, 18.0, 18.0, 18.0, 18.0]"
Neural Network,batch normalisation,"[0.09666666666666666, 0.09, 0.09, 0.08666666666666667, 0.11666666666666667]","[0.32592592592592595, 0.3037037037037037, 0.4666666666666667, 0.45925925925925926, 0.2740740740740741]","[90.33333333333333, 91.0, 91.0, 91.33333333333333, 88.33333333333333]","[0.8963027539498127, 0.9023543093892533, 0.9066080931350364, 0.9103856325727289, 0.8712588052841047]","[0.6337777777777778, 0.6833177140511063, 0.5580246913580247, 0.5591185868451197, 0.647071447071447]","[67.4074074074074, 69.62962962962963, 53.333333333333336, 54.074074074074076, 72.5925925925926]","[3.0, 9.0, 9.0, 7.0, 1.0]","[88.0, 85.0, 63.0, 66.0, 97.0]","[14.0, 17.0, 39.0, 36.0, 5.0]","[30.0, 24.0, 24.0, 26.0, 32.0]"
Neural Network,dropout,"[0.11333333333333333, 0.09, 0.12, 0.11, 0.09666666666666666]","[0.2222222222222222, 0.3111111111111111, 0.2222222222222222, 0.22962962962962963, 0.23703703703703705]","[88.66666666666667, 91.0, 88.0, 89.0, 90.33333333333333]","[0.8649158249158249, 0.8946794399410465, 0.8529111338100102, 0.8677511131024054, 0.887002156721783]","[0.7050515121302758, 0.7053872053872053, 0.715099715099715, 0.6895111452073477, 0.6853882796056275]","[77.77777777777779, 68.88888888888889, 77.77777777777779, 77.03703703703704, 76.29629629629629]","[2.0, 15.0, 3.0, 1.0, 1.0]","[103.0, 78.0, 102.0, 103.0, 102.0]","[2.0, 27.0, 3.0, 2.0, 3.0]","[28.0, 15.0, 27.0, 29.0, 29.0]"
Neural Network,layer normalisation,"[0.08666666666666667, 0.12, 0.07333333333333333, 0.08666666666666667, 0.14333333333333334]","[0.5777777777777777, 0.6148148148148148, 0.5259259259259259, 0.6296296296296297, 0.5407407407407407]","[91.33333333333333, 88.0, 92.66666666666666, 91.33333333333333, 85.66666666666667]","[0.9090909090909092, 0.8692653835727839, 0.9239806113816678, 0.9099574468085107, 0.8391985850881557]","[0.37635696040868455, 0.36930011772779064, 0.41866926783127906, 0.33399947489818016, 0.3959507337743107]","[42.22222222222222, 38.51851851851852, 47.40740740740741, 37.03703703703704, 45.925925925925924]","[9.0, 14.0, 10.0, 8.0, 8.0]","[48.0, 38.0, 54.0, 42.0, 54.0]","[22.0, 32.0, 16.0, 28.0, 16.0]","[56.0, 51.0, 55.0, 57.0, 57.0]"
Neural Network,prune,"[0.17, 0.15666666666666668, 0.14, 0.16, 0.16666666666666666]","[0.43703703703703706, 0.3925925925925926, 0.34814814814814815, 0.3111111111111111, 0.37777777777777777]","[83.0, 84.33333333333334, 86.0, 84.0, 83.33333333333334]","[0.8258116702686014, 0.8379981583090391, 0.8567571829875315, 0.8378901098901099, 0.8308333333333333]","[0.5818823152156485, 0.6204294325307629, 0.6553510536501324, 0.6706788325891414, 0.6334472479723876]","[56.2962962962963, 60.74074074074074, 65.18518518518519, 68.88888888888889, 62.22222222222222]","[23.0, 20.0, 18.0, 13.0, 20.0]","[53.0, 62.0, 70.0, 80.0, 64.0]","[42.0, 33.0, 25.0, 15.0, 31.0]","[17.0, 20.0, 22.0, 27.0, 20.0]"
Neural Network,weight normalisation,"[0.21, 0.17666666666666667, 0.18666666666666668, 0.22666666666666666, 0.2]","[0.4148148148148148, 0.48148148148148145, 0.5111111111111111, 0.4222222222222222, 0.362962962962963]","[79.0, 82.33333333333334, 81.33333333333333, 77.33333333333333, 80.0]","[0.7883705164696295, 0.8220875287000113, 0.8133333333333334, 0.7717592592592593, 0.7972429031173448]","[0.6293922127255461, 0.569255346457419, 0.5432863887068048, 0.623220742115301, 0.6742640075973411]","[58.51851851851851, 51.85185185185185, 48.888888888888886, 57.77777777777777, 63.70370370370371]","[11.0, 6.0, 14.0, 11.0, 13.0]","[68.0, 64.0, 52.0, 67.0, 73.0]","[42.0, 46.0, 58.0, 43.0, 37.0]","[14.0, 19.0, 11.0, 14.0, 12.0]"
Neural Network,weight decay,"[0.17666666666666667, 0.15666666666666668, 0.15333333333333332, 0.15666666666666668, 0.15666666666666668]","[0.34814814814814815, 0.43703703703703706, 0.45185185185185184, 0.4, 0.48148148148148145]","[82.33333333333334, 84.33333333333334, 84.66666666666667, 84.33333333333334, 84.33333333333334]","[0.8126103451296023, 0.8401322283187568, 0.8434886499402627, 0.8366959831573025, 0.8408707630118821]","[0.560209309497518, 0.49954477184848195, 0.4825801878433458, 0.520894526034713, 0.4915333245769237]","[65.18518518518519, 56.2962962962963, 54.81481481481482, 60.0, 51.85185185185185]","[2.0, 1.0, 0.0, 1.0, 4.0]","[86.0, 75.0, 74.0, 80.0, 66.0]","[6.0, 17.0, 18.0, 12.0, 26.0]","[41.0, 42.0, 43.0, 42.0, 39.0]"
Neural Network,weight perturbation,"[0.11666666666666667, 0.11, 0.12333333333333334, 0.12333333333333334, 0.13666666666666666]","[0.2740740740740741, 0.2074074074074074, 0.17777777777777778, 0.1925925925925926, 0.1925925925925926]","[88.33333333333333, 89.0, 87.66666666666667, 87.66666666666667, 86.33333333333333]","[0.8785196156621473, 0.8830407395953711, 0.8661366084895497, 0.8696976158469693, 0.8489028651292801]","[0.7231819741778204, 0.7562962962962964, 0.773350147120639, 0.7737037037037037, 0.7737037037037037]","[72.5925925925926, 79.25925925925927, 82.22222222222221, 80.74074074074075, 80.74074074074075]","[2.0, 1.0, 1.0, 2.0, 2.0]","[96.0, 106.0, 110.0, 107.0, 107.0]","[18.0, 8.0, 4.0, 7.0, 7.0]","[19.0, 20.0, 20.0, 19.0, 19.0]"
Random forest,baseline,"[0.14, 0.13666666666666666, 0.15, 0.13333333333333333, 0.12333333333333334]","[0.25925925925925924, 0.31851851851851853, 0.2814814814814815, 0.28888888888888886, 0.2740740740740741]","[86.0, 86.33333333333333, 85.0, 86.66666666666667, 87.66666666666667]","[0.8422337662337662, 0.8483741222172418, 0.8339703774486383, 0.8531490015360983, 0.8645765998707176]","[0.7377935875789953, 0.7013004115226338, 0.7243317230273751, 0.7197879315037692, 0.7288464621797955]","[74.07407407407408, 68.14814814814815, 71.85185185185186, 71.11111111111111, 72.5925925925926]","[100.0, 92.0, 97.0, 96.0, 98.0]","[100.0, 92.0, 97.0, 96.0, 98.0]","[35.0, 43.0, 38.0, 39.0, 37.0]","[35.0, 43.0, 38.0, 39.0, 37.0]"
Random forest,batch normalisation,"[0.09666666666666666, 0.09, 0.10666666666666667, 0.08666666666666667, 0.10333333333333333]","[0.23703703703703705, 0.26666666666666666, 0.3037037037037037, 0.25925925925925924, 0.4444444444444444]","[90.33333333333333, 91.0, 89.33333333333333, 91.33333333333333, 89.66666666666666]","[0.8988130232154387, 0.9044294736842106, 0.8846666666666666, 0.9094751773049646, 0.8891512197394551]","[0.6674864296000886, 0.6711779448621553, 0.620281416787967, 0.6993819504076159, 0.5396825396825398]","[76.29629629629629, 73.33333333333333, 69.62962962962963, 74.07407407407408, 55.55555555555556]","[103.0, 99.0, 94.0, 100.0, 75.0]","[103.0, 99.0, 94.0, 100.0, 75.0]","[32.0, 36.0, 41.0, 35.0, 60.0]","[32.0, 36.0, 41.0, 35.0, 60.0]"
Random forest,dropout,"[0.12666666666666668, 0.11666666666666667, 0.09, 0.11333333333333333, 0.09]","[0.2518518518518518, 0.24444444444444444, 0.2518518518518518, 0.24444444444444444, 0.26666666666666666]","[87.33333333333333, 88.33333333333333, 91.0, 88.66666666666667, 91.0]","[0.8413755532856657, 0.8566912155918345, 0.8923361416101464, 0.8581234567901235, 0.8956616672298615]","[0.7176932367149759, 0.7288744712654646, 0.6771130104463438, 0.7288744712654646, 0.7072072072072072]","[74.81481481481481, 75.55555555555556, 74.81481481481481, 75.55555555555556, 73.33333333333333]","[101.0, 102.0, 101.0, 102.0, 99.0]","[101.0, 102.0, 101.0, 102.0, 99.0]","[34.0, 33.0, 34.0, 33.0, 36.0]","[34.0, 33.0, 34.0, 33.0, 36.0]"
Random forest,layer normalisation,"[0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.0033333333333333335, 0.006666666666666667]","[0.5851851851851851, 0.5333333333333333, 0.5407407407407407, 0.5333333333333333, 0.6296296296296297]","[99.33333333333333, 99.33333333333333, 99.33333333333333, 99.66666666666667, 99.33333333333333]","[0.9933023555206887, 0.993303037550825, 0.9933002070393375, 0.996658835417456, 0.9933002070393375]","[0.3655360623781676, 0.4243295019157088, 0.37411201550110124, 0.37017543859649127, 0.3288636855888318]","[41.48148148148148, 46.666666666666664, 45.925925925925924, 46.666666666666664, 37.03703703703704]","[56.0, 63.0, 62.0, 63.0, 50.0]","[56.0, 63.0, 62.0, 63.0, 50.0]","[79.0, 72.0, 73.0, 72.0, 85.0]","[79.0, 72.0, 73.0, 72.0, 85.0]"
Random forest,prune,"[0.10666666666666667, 0.09333333333333334, 0.10666666666666667, 0.11666666666666667, 0.12]","[0.2814814814814815, 0.4222222222222222, 0.4962962962962963, 0.362962962962963, 0.34074074074074073]","[89.33333333333333, 90.66666666666666, 89.33333333333333, 88.33333333333333, 88.0]","[0.8921611721611722, 0.9049816849816851, 0.891773056702655, 0.8811247486304694, 0.8783751962323391]","[0.7085671530115973, 0.5917825972500658, 0.5246252541850026, 0.6478218656989607, 0.6655900086132644]","[71.85185185185186, 57.77777777777777, 50.37037037037037, 63.70370370370371, 65.92592592592592]","[97.0, 78.0, 68.0, 86.0, 89.0]","[97.0, 78.0, 68.0, 86.0, 89.0]","[38.0, 57.0, 67.0, 49.0, 46.0]","[38.0, 57.0, 67.0, 49.0, 46.0]"
Random forest,weight normalisation,"[0.11, 0.12333333333333334, 0.12333333333333334, 0.14333333333333334, 0.12]","[0.37037037037037035, 0.362962962962963, 0.2740740740740741, 0.32592592592592595, 0.2740740740740741]","[89.0, 87.66666666666667, 87.66666666666667, 85.66666666666667, 88.0]","[0.8893766937669376, 0.8767601282424948, 0.8764597008337234, 0.8556363636363636, 0.8790752416981926]","[0.654788162852679, 0.6730279406727498, 0.7190224285921261, 0.6831275720164609, 0.7237493287913456]","[62.96296296296296, 63.70370370370371, 72.5925925925926, 67.4074074074074, 72.5925925925926]","[85.0, 86.0, 98.0, 91.0, 98.0]","[85.0, 86.0, 98.0, 91.0, 98.0]","[50.0, 49.0, 37.0, 44.0, 37.0]","[50.0, 49.0, 37.0, 44.0, 37.0]"
Random forest,weight decay,"[0.10333333333333333, 0.13, 0.11666666666666667, 0.11333333333333333, 0.13666666666666666]","[0.3925925925925926, 0.4148148148148148, 0.5111111111111111, 0.42962962962962964, 0.5259259259259259]","[89.66666666666666, 87.0, 88.33333333333333, 88.66666666666667, 86.33333333333333]","[0.8952635319642388, 0.8665322591278893, 0.881788702626017, 0.8821318342151676, 0.8607945519381042]","[0.5504385238638906, 0.5124509024313838, 0.48375176284460475, 0.49503843466107617, 0.4724018135782842]","[60.74074074074074, 58.51851851851851, 48.888888888888886, 57.03703703703704, 47.40740740740741]","[82.0, 79.0, 66.0, 77.0, 64.0]","[82.0, 79.0, 66.0, 77.0, 64.0]","[53.0, 56.0, 69.0, 58.0, 71.0]","[53.0, 56.0, 69.0, 58.0, 71.0]"
Random forest,weight perturbation,"[0.16666666666666666, 0.17, 0.18, 0.15, 0.17333333333333334]","[0.25925925925925924, 0.14814814814814814, 0.15555555555555556, 0.25925925925925924, 0.2518518518518518]","[83.33333333333334, 83.0, 82.0, 85.0, 82.66666666666667]","[0.8092442035531466, 0.7987474747474748, 0.7800894381657045, 0.8345263157894738, 0.7958424362793777]","[0.7260049749320134, 0.7904855001629194, 0.7732262382864792, 0.738145110708749, 0.7429468599033816]","[74.07407407407408, 85.18518518518519, 84.44444444444444, 74.07407407407408, 74.81481481481481]","[100.0, 115.0, 114.0, 100.0, 101.0]","[100.0, 115.0, 114.0, 100.0, 101.0]","[35.0, 20.0, 21.0, 35.0, 34.0]","[35.0, 20.0, 21.0, 35.0, 34.0]"
svm,baseline,"[0.12333333333333334, 0.14, 0.11666666666666667, 0.12333333333333334, 0.12666666666666668]","[0.28888888888888886, 0.362962962962963, 0.3037037037037037, 0.23703703703703705, 0.26666666666666666]","[87.66666666666667, 86.0, 88.33333333333333, 87.66666666666667, 87.33333333333333]","[0.8621415447473483, 0.8518371363552494, 0.872377059333581, 0.8617757641245348, 0.8660911088573361]","[0.7247253810515771, 0.6813423752390889, 0.710608733926017, 0.7573915796138019, 0.738840579710145]","[71.11111111111111, 63.70370370370371, 69.62962962962963, 76.29629629629629, 73.33333333333333]","[2.0, 4.0, 1.0, 2.0, 2.0]","[94.0, 82.0, 93.0, 101.0, 97.0]","[22.0, 34.0, 23.0, 15.0, 19.0]","[17.0, 15.0, 18.0, 17.0, 17.0]"
svm,batch normalisation,"[0.10333333333333333, 0.13333333333333333, 0.12333333333333334, 0.13, 0.12333333333333334]","[0.48148148148148145, 0.5185185185185185, 0.4666666666666667, 0.4, 0.5407407407407407]","[89.66666666666666, 86.66666666666667, 87.66666666666667, 87.0, 87.66666666666667]","[0.8927073684210526, 0.8588687463967716, 0.86976, 0.8589007494889849, 0.8679059335047189]","[0.551033076172741, 0.5174291938997821, 0.5533678756476683, 0.6134583563154993, 0.4957768157768158]","[51.85185185185185, 48.148148148148145, 53.333333333333336, 60.0, 45.925925925925924]","[13.0, 16.0, 7.0, 10.0, 16.0]","[57.0, 49.0, 65.0, 71.0, 46.0]","[45.0, 53.0, 37.0, 31.0, 56.0]","[20.0, 17.0, 26.0, 23.0, 17.0]"
svm,dropout,"[0.10333333333333333, 0.12, 0.11333333333333333, 0.11, 0.10333333333333333]","[0.362962962962963, 0.3333333333333333, 0.3111111111111111, 0.18518518518518517, 0.31851851851851853]","[89.66666666666666, 88.0, 88.66666666666667, 89.0, 89.66666666666666]","[0.8771146145445382, 0.8603713527851458, 0.8648621553884713, 0.8645703644586326, 0.877121574886938]","[0.6639231824417009, 0.6853487240108477, 0.7072072072072072, 0.8022801205718209, 0.6926288099731228]","[63.70370370370371, 66.66666666666666, 68.88888888888889, 81.48148148148148, 68.14814814814815]","[16.0, 14.0, 16.0, 13.0, 12.0]","[70.0, 76.0, 77.0, 97.0, 80.0]","[35.0, 29.0, 28.0, 8.0, 25.0]","[14.0, 16.0, 14.0, 17.0, 18.0]"
