Bit 1,Bit 3,Bit 4,Bit 5,Bit 6,Bit 8,Bit 10,target
-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,2
1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,2
-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1
-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,2
1.0,1.0,1.0,1.0,-1.0,1.0,1.0,2
-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,2
1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1
-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2
1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,2
1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1
-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1
1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,2
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1
-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1
-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,2
-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,2
-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1
-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1
1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1
-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,2
1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,2
-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,2
-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1
-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,2
1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,2
1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,2
-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1
-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,2
1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,2
-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,2
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,2
1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1
-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1
1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1
-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,2
-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,2
1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1
-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1
1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,2
1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1
1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,2
-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1
1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1
-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,2
1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,2
-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1
-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,2
-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,2
1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1
1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1
-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,2
-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1
-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1
-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,2
-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1
1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1
1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,2
-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1
-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,2
1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,2
1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1
-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,2
1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1
-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,2
1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1
-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1
1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1
-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1
-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2
1.0,1.0,1.0,1.0,-1.0,1.0,1.0,2
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1
-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,2
1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,2
1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2
1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1
1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1
-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,2
1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1.0,-1.0,1.0,2
1.0,-1.0,1.0,1.0,1.0,1.0,1.0,2
-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,2
1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,2
1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1
-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2
1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,2
1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,2
-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,2
-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1
1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,2
-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1
-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1
-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1
1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1
1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,2
-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,2
-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,2
-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1
-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,2
1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1
-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,2
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,2
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1
-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1
1.0,1.0,1.0,1.0,1.0,-1.0,1.0,2
-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,2
1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1
1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,2
1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1
-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1
1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,2
1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,2
1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1
-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,2
-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,2
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1
-1.0,1.0,1.0,1.0,1.0,1.0,1.0,2
1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,2
1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,2
1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,2
1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1
-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1
1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1
1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1
-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1
1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,2
1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,2
-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,2
1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1
-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1
1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1
1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1
1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,2
-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1
-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,2
1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2
1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2
1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1
1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,2
1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1
-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,2
1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,2
-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1
1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1
-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,2
-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1
-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,2
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1
1.0,1.0,1.0,-1.0,1.0,1.0,1.0,2
1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,2
-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,2
1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,2
-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1
-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2
1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1
1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,2
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1
1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1
1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,2
1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1
-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,2
1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1
1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1
-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1
-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1
1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,2
1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2
1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1
-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,2
-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1
1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1
1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,2
-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1
1.0,1.0,1.0,1.0,1.0,-1.0,1.0,2
1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,2
-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1
1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1
1.0,1.0,-1.0,1.0,1.0,1.0,1.0,2
1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1
1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,2
-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,2
1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1
1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1
-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,2
1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,2
1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1
-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1
1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1
1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1
-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,2
1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2
1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1
-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,2
-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,2
1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1
-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,2
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1
1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,2
-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,2
1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1
-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,2
1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,2
1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,2
1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1
-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1
-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1
-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1
-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2
1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1
1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1
-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,2
-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1
1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1
1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,2
-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,2
1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,2
1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1
-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,2
1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1
1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1
-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1
-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,2
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1
1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,2
1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1
1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1
-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,2
1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,2
1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2
1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,2
1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,2
-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,2
-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,2
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,2
-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,2
1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,2
-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1
1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,2
1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1
-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,2
-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1
1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2
-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,2
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1
1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,2
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,2
1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2
-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1
-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,2
-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1
1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,2
1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1
1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,2
-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,2
-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,2
1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1
1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1
1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1
1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2
1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1
-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1
1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,2
-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,2
-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1
-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,2
1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,2
-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,2
1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,2
-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1
-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1
1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,2
-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,2
-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1
-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,2
1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1
1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2
1.0,1.0,-1.0,1.0,1.0,1.0,1.0,2
-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,2
-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,2
-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,2
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,2
-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1
-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1
-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,2
-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1
1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,2
1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1
-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,2
-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,2
1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1
-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1
1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,2
-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1
-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1
-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,2
1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,2
1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,2
1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,2
-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,2
-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,2
-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1
1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,2
1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1
-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,2
-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1
-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,2
-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,2
1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1
-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1
-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,2
1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1
-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1
-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,2
-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,2
1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,2
1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,2
-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1
-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1
-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1
