dataset_name,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,layer_normalisation,batch_normalisation,weight_decay,baseline,dropout,prune,weight_normalisation,weight_perturbation
Agaricus Lepiota,21.0,0.5714285714285714,3.0,2.0,2.0,0,3.0,0.9305705059203444,0.238095238095238,2,1,3,2,0.0,1,0,0,0,0,0,0,0
Agaricus Lepiota,21.0,0.5714285714285714,3.0,2.0,2.0,0,3.0,0.9304063521718824,0.2857142857142857,2,1,3,2,0.0,1,0,0,0,0,0,0,0
Agaricus Lepiota,21.0,0.5714285714285714,3.0,2.0,2.0,0,4.0,0.930545712260808,0.2857142857142857,2,1,3,2,0.0,1,0,0,0,0,0,0,0
Agaricus Lepiota,21.0,0.5714285714285714,3.0,2.0,3.0,0,4.0,0.9308312655086848,0.2857142857142857,2,1,3,2,0.0,1,0,0,0,0,0,0,0
Agaricus Lepiota,21.0,0.5714285714285714,4.0,2.0,3.0,0,4.0,0.9305518880380248,0.2857142857142857,2,1,3,2,0.0,1,0,0,0,0,0,0,0
Ann thyroid,15.0,1.0,4.0,3.0,3.0,0,3.0,0.0251705837755875,0.9333333333333332,1,0,2,1,0.0,0,0,0,0,0,1,0,0
Ann thyroid,16.0,1.0,4.0,3.0,3.0,0,3.0,0.0251705837755875,0.9375,0,0,2,0,0.0,0,0,0,0,0,1,0,0
Ann thyroid,17.0,1.0,4.0,3.0,3.0,0,3.0,0.0251705837755875,0.9411764705882352,0,0,2,0,0.0,0,0,0,0,0,1,0,0
Ann thyroid,17.0,1.0,4.0,3.0,3.0,0,3.0,0.0251705837755875,0.9411764705882352,0,0,2,0,0.0,0,0,1,1,0,0,1,0
Ann thyroid,16.0,1.0,4.0,3.0,3.0,0,3.0,0.0251705837755875,0.9375,0,0,2,0,0.0,0,0,1,0,0,1,0,0
Ann thyroid,13.0,1.0,4.0,3.0,3.0,1,3.0,0.0251705837755875,0.9230769230769232,0,0,1,0,2.0,0,1,1,0,0,0,0,0
Ann thyroid,12.0,1.0,4.0,3.0,3.0,1,3.0,0.0251705837755875,1.0,1,0,2,1,0.0,0,0,1,0,0,1,1,0
Ann thyroid,21.0,1.0,1.0,3.0,1.0,0,1.0,0.0256410256410256,0.8571428571428571,0,0,2,0,0.0,0,0,0,0,0,1,1,0
Ann thyroid,21.0,1.0,2.0,3.0,1.0,0,2.0,0.0253731343283582,0.8571428571428571,0,0,2,0,0.0,0,0,0,1,0,0,0,0
Ann thyroid,21.0,1.0,3.0,3.0,2.0,0,3.0,0.025,0.8571428571428571,0,0,2,0,0.0,0,0,1,1,1,1,1,0
Ann thyroid,21.0,1.0,3.0,3.0,2.0,0,3.0,0.0252074026802807,0.8571428571428571,0,0,2,0,0.0,0,0,0,0,0,1,0,0
Ann thyroid,21.0,1.0,3.0,3.0,2.0,0,3.0,0.0251082251082251,0.8571428571428571,0,0,2,0,0.0,0,0,0,0,0,1,0,0
Ann thyroid,21.0,1.0,3.0,3.0,2.0,0,3.0,0.0252004581901489,0.9047619047619048,0,0,2,0,0.0,0,0,0,0,0,1,0,0
Ann thyroid,21.0,1.0,3.0,3.0,3.0,0,3.0,0.0252305550722115,0.9047619047619048,0,0,2,0,0.0,0,0,0,0,0,1,0,0
Ann thyroid,21.0,1.0,3.0,3.0,3.0,0,3.0,0.0251010781671159,0.9047619047619048,0,0,2,0,0.0,0,0,1,0,0,1,0,0
Car evaluation,6.0,1.0,1.0,3.0,2.0,1,2.0,0.1692708333333333,0.0,1,0,1,1,2.0,0,0,0,0,0,1,1,0
Car evaluation,6.0,1.0,2.0,3.0,3.0,1,2.0,0.0570247933884297,0.0,1,1,1,1,2.0,0,0,0,0,1,0,0,0
Car evaluation,6.0,1.0,2.0,2.0,2.0,1,3.0,0.0537190082644628,0.0,0,1,0,0,1.0,0,0,0,0,0,0,1,0
Car evaluation,5.0,1.0,2.0,4.0,3.0,2,2.0,0.0537190082644628,0.0,2,0,1,2,2.0,1,1,1,1,0,1,1,1
Car evaluation,5.0,1.0,2.0,4.0,3.0,2,2.0,0.0537190082644628,0.0,1,0,1,1,3.0,0,1,0,0,1,1,0,0
Car evaluation,3.0,1.0,2.0,4.0,3.0,3,2.0,0.0537190082644628,0.0,2,3,1,2,3.0,0,0,0,0,0,1,0,0
Car evaluation,4.0,1.0,2.0,4.0,3.0,2,2.0,0.0537190082644628,0.0,1,2,1,1,3.0,0,0,0,0,0,1,0,0
Car evaluation,4.0,1.0,2.0,4.0,3.0,2,2.0,0.0537190082644628,0.0,1,2,1,1,3.0,0,0,0,0,0,1,0,0
Car evaluation,5.0,1.0,2.0,4.0,3.0,2,2.0,0.0537190082644628,0.0,1,0,1,1,3.0,0,0,0,0,0,1,0,0
Car evaluation,6.0,1.0,0.0,2.0,1.0,1,1.0,0.3211009174311927,0.0,1,0,1,1,2.0,1,1,0,0,1,1,1,0
Car evaluation,6.0,1.0,1.0,4.0,1.0,2,1.0,0.053231939163498,0.0,2,1,1,2,2.0,1,0,0,0,0,1,1,1
Car evaluation,6.0,1.0,2.0,4.0,2.0,2,2.0,0.0543293718166383,0.0,2,1,1,2,2.0,1,0,0,0,1,0,1,0
Car evaluation,6.0,1.0,2.0,4.0,2.0,2,2.0,0.0533910533910533,0.0,1,2,1,1,2.0,0,0,0,0,0,1,0,0
Car evaluation,6.0,1.0,2.0,4.0,2.0,2,2.0,0.0535917901938426,0.0,1,1,1,1,2.0,1,0,0,0,0,0,0,0
Car evaluation,6.0,1.0,2.0,4.0,2.0,2,2.0,0.0537735849056603,0.0,2,1,1,2,2.0,1,0,0,0,0,0,0,0
Churn,16.0,0.8125,3.0,2.0,3.0,0,4.0,0.1646866992778942,0.6875,0,0,0,0,3.0,1,1,0,1,1,1,1,1
Churn,19.0,0.8421052631578947,3.0,2.0,2.0,0,4.0,0.1646866992778942,0.7368421052631579,0,0,0,0,2.0,1,1,0,1,1,1,1,1
Churn,15.0,0.8,3.0,2.0,3.0,0,4.0,0.1646866992778942,0.7333333333333333,0,0,0,0,3.0,1,1,0,1,1,1,1,1
Churn,13.0,0.8461538461538461,3.0,2.0,3.0,0,4.0,0.1646866992778942,0.7692307692307693,0,0,0,0,3.0,1,1,0,1,1,1,1,1
Churn,17.0,0.8823529411764706,3.0,2.0,3.0,0,4.0,0.1646866992778942,0.7647058823529411,0,0,0,0,2.0,1,1,0,1,1,1,1,1
Churn,18.0,0.8333333333333334,3.0,2.0,3.0,0,4.0,0.1646866992778942,0.7222222222222222,0,0,0,0,2.0,1,1,0,1,1,1,1,1
Churn,10.0,0.9,3.0,2.0,3.0,0,4.0,0.1646866992778942,0.8,0,0,0,0,4.0,1,1,0,1,1,1,1,1
Churn,20.0,0.85,1.0,2.0,1.0,0,2.0,0.1641221374045801,0.75,0,0,0,0,2.0,0,0,0,0,0,1,0,0
Churn,20.0,0.85,2.0,2.0,1.0,0,3.0,0.1648745519713261,0.75,0,0,0,0,2.0,1,1,0,1,1,1,1,1
Churn,20.0,0.85,2.0,2.0,2.0,0,3.0,0.1650552486187845,0.75,0,0,0,0,2.0,1,1,0,1,1,1,1,1
Churn,20.0,0.85,3.0,2.0,2.0,0,3.0,0.1645083932853717,0.75,0,0,0,0,2.0,1,1,0,1,1,1,1,1
Churn,20.0,0.85,3.0,2.0,2.0,0,3.0,0.1645949421345906,0.75,0,0,0,0,2.0,1,1,0,1,1,1,1,1
Churn,20.0,0.85,3.0,2.0,2.0,0,3.0,0.1644978311644978,0.75,0,0,0,0,2.0,1,1,0,1,1,1,1,1
Churn,20.0,0.85,3.0,2.0,2.0,0,3.0,0.1645979492714517,0.75,0,0,0,0,2.0,1,1,0,1,1,1,1,1
Churn,20.0,0.85,3.0,2.0,2.0,0,3.0,0.1645962732919254,0.75,0,0,0,0,2.0,1,1,0,1,1,1,1,1
Dry Bean,16.0,1.0,4.0,3.0,3.0,0,3.0,0.7056145675265554,0.75,3,3,3,3,0.0,0,1,0,0,0,0,0,0
Dry Bean,16.0,1.0,4.0,3.0,3.0,0,4.0,0.3728144388042865,1.0,3,2,3,3,0.0,1,1,0,1,0,1,1,0
Dry Bean,16.0,1.0,4.0,4.0,3.0,1,3.0,0.4596728708403835,1.0,3,3,3,3,0.0,1,1,1,0,0,1,0,0
Dry Bean,16.0,1.0,3.0,2.0,3.0,0,3.0,0.7056145675265554,0.6875,3,2,3,3,0.0,1,0,1,1,0,0,0,1
Dry Bean,16.0,1.0,3.0,2.0,3.0,0,4.0,0.571630005640158,1.0,3,2,2,3,0.0,0,0,1,1,0,1,1,1
Dry Bean,8.0,1.0,4.0,7.0,4.0,2,3.0,0.1472081218274111,1.0,3,3,3,3,0.0,0,1,0,0,0,0,0,0
Dry Bean,11.0,1.0,4.0,7.0,4.0,2,3.0,0.1472081218274111,1.0,3,3,3,3,0.0,0,1,0,0,0,0,1,0
Dry Bean,8.0,1.0,4.0,7.0,4.0,2,3.0,0.1472081218274111,1.0,3,3,3,3,0.0,0,1,0,0,0,0,0,0
Dry Bean,10.0,1.0,4.0,7.0,4.0,2,3.0,0.1472081218274111,1.0,3,3,3,3,0.0,1,0,0,0,0,0,1,1
Dry Bean,13.0,1.0,4.0,7.0,4.0,2,3.0,0.1472081218274111,1.0,3,3,3,3,0.0,0,0,0,0,0,1,1,1
Dry Bean,16.0,1.0,2.0,7.0,2.0,1,2.0,0.146771037181996,0.9375,3,3,3,3,0.0,0,1,1,1,1,0,1,0
Dry Bean,16.0,1.0,3.0,7.0,2.0,1,2.0,0.1473396998635743,1.0,3,3,3,3,0.0,0,1,0,0,0,1,0,0
Dry Bean,16.0,1.0,4.0,7.0,3.0,1,3.0,0.1471471471471471,1.0,3,3,3,3,0.0,1,0,0,0,0,1,1,1
Dry Bean,16.0,1.0,4.0,7.0,3.0,1,3.0,0.1473214285714285,1.0,3,3,3,3,0.0,1,1,0,1,0,1,0,0
Dry Bean,16.0,1.0,4.0,7.0,3.0,1,3.0,0.1473978344393992,1.0,3,3,3,3,0.0,0,0,1,0,0,1,1,0
Indian Engineering Student Placement,21.0,0.6666666666666666,3.0,2.0,2.0,0,3.0,0.1671537112799532,0.2857142857142857,0,0,0,0,0.0,0,0,1,0,0,0,0,0
Indian Engineering Student Placement,16.0,0.6875,3.0,2.0,2.0,0,3.0,0.1671537112799532,0.3125,0,0,0,0,0.0,1,0,1,0,1,0,0,1
Indian Engineering Student Placement,17.0,0.7058823529411765,3.0,2.0,2.0,0,3.0,0.1671537112799532,0.2941176470588235,0,0,0,0,2.0,0,0,1,0,0,0,0,0
Indian Engineering Student Placement,11.0,0.7272727272727273,3.0,2.0,3.0,0,3.0,0.1671537112799532,0.2727272727272727,0,0,0,0,2.0,0,0,1,0,0,0,0,0
Indian Engineering Student Placement,11.0,0.6363636363636364,3.0,2.0,3.0,0,3.0,0.1671537112799532,0.1818181818181818,0,1,0,0,3.0,0,0,1,0,0,0,0,0
Indian Engineering Student Placement,13.0,0.6923076923076923,3.0,2.0,3.0,0,3.0,0.1671537112799532,0.3076923076923077,0,0,0,0,2.0,0,0,1,0,0,0,0,0
Indian Engineering Student Placement,16.0,0.625,3.0,2.0,2.0,0,3.0,0.1671537112799532,0.1875,0,1,0,0,2.0,0,0,1,0,0,0,0,0
Indian Engineering Student Placement,22.0,0.6818181818181818,1.0,2.0,0.0,0,1.0,0.1653543307086614,0.2272727272727272,0,0,0,0,0.0,0,0,0,1,0,0,1,0
Indian Engineering Student Placement,22.0,0.6818181818181818,2.0,2.0,1.0,0,2.0,0.166444740346205,0.3181818181818182,0,0,0,0,0.0,0,0,1,0,1,0,1,0
Indian Engineering Student Placement,22.0,0.6818181818181818,2.0,2.0,1.0,0,2.0,0.1674925668979187,0.2727272727272727,0,0,0,0,0.0,0,0,1,0,0,0,0,0
Indian Engineering Student Placement,22.0,0.6818181818181818,2.0,2.0,2.0,0,3.0,0.1670520231213872,0.2727272727272727,0,0,0,0,0.0,0,0,1,0,1,0,0,0
Indian Engineering Student Placement,22.0,0.6818181818181818,3.0,2.0,2.0,0,3.0,0.1670873296314992,0.2727272727272727,0,0,0,0,0.0,0,0,1,0,0,0,0,1
Indian Engineering Student Placement,22.0,0.6818181818181818,3.0,2.0,2.0,0,3.0,0.1672064777327935,0.2727272727272727,0,0,0,0,0.0,1,0,1,1,0,1,0,0
Indian Engineering Student Placement,22.0,0.6818181818181818,3.0,2.0,2.0,0,3.0,0.1671501087744742,0.2727272727272727,0,0,0,0,0.0,0,0,0,1,0,1,1,0
Indian Engineering Student Placement,22.0,0.6818181818181818,3.0,2.0,2.0,0,3.0,0.1672739317654852,0.2727272727272727,0,0,0,0,0.0,0,0,1,0,0,0,0,0
Led24,24.0,1.0,2.0,6.0,2.0,1,2.0,0.8783382789317508,0.0416666666666666,2,0,2,2,0.0,0,1,1,1,0,0,0,0
Led24,24.0,1.0,2.0,3.0,1.0,0,2.0,0.8961424332344213,0.0416666666666666,2,0,2,2,0.0,0,1,0,0,0,0,0,1
Led24,24.0,1.0,1.0,2.0,1.0,0,2.0,0.9762611275964392,0.1666666666666666,1,0,2,1,0.0,0,0,1,0,0,0,1,0
Led24,24.0,1.0,2.0,3.0,1.0,0,2.0,0.94375,0.0833333333333333,1,0,2,1,0.0,0,0,0,1,0,0,1,0
Led24,24.0,1.0,3.0,8.0,2.0,1,2.0,0.8783382789317508,0.0416666666666666,2,0,2,2,0.0,0,0,1,0,1,0,0,0
Led24,23.0,1.0,3.0,10.0,2.0,1,2.0,0.8783382789317508,0.0434782608695652,1,0,2,1,2.0,0,0,1,0,0,0,0,0
Led24,13.0,1.0,3.0,10.0,2.0,2,2.0,0.8783382789317508,0.0,1,0,2,1,3.0,0,0,1,0,0,0,0,0
Led24,18.0,1.0,3.0,10.0,2.0,2,2.0,0.8783382789317508,0.0555555555555555,2,0,2,2,2.0,0,0,0,0,1,0,0,0
Led24,19.0,1.0,3.0,10.0,2.0,2,2.0,0.8783382789317508,0.0,2,0,2,2,1.0,0,0,1,0,1,0,0,0
Led24,17.0,1.0,3.0,10.0,2.0,2,2.0,0.8783382789317508,0.0588235294117647,1,0,2,1,2.0,0,0,1,0,0,0,0,0
Led24,24.0,1.0,1.0,10.0,1.0,1,1.0,0.8787878787878788,0.0833333333333333,2,0,2,2,1.0,0,0,0,0,0,0,1,1
Led24,24.0,1.0,2.0,10.0,1.0,1,1.0,0.8829787234042553,0.0416666666666666,2,0,2,2,0.0,0,1,0,1,0,1,0,0
Led24,24.0,1.0,2.0,10.0,1.0,1,1.0,0.8805031446540881,0.0833333333333333,2,0,2,2,1.0,0,0,1,0,1,0,1,0
Led24,24.0,1.0,3.0,10.0,2.0,1,2.0,0.8785425101214575,0.0833333333333333,2,0,2,2,1.0,0,0,1,0,0,0,0,1
Led24,24.0,1.0,3.0,10.0,2.0,1,2.0,0.8776978417266187,0.0416666666666666,2,0,2,2,1.0,0,0,0,0,1,0,0,0
Led7,7.0,1.0,0.0,7.0,1.0,2,0.0,0.7435897435897436,0.0,1,2,0,1,3.0,0,0,0,0,0,1,0,0
Led7,7.0,1.0,0.0,3.0,0.0,1,0.0,0.8461538461538461,0.0,1,0,0,1,3.0,0,0,0,0,1,0,0,1
Led7,7.0,1.0,1.0,9.0,1.0,3,0.0,0.7435897435897436,0.0,1,0,1,1,3.0,0,0,0,0,0,1,0,0
Led7,7.0,1.0,0.0,7.0,1.0,2,0.0,0.7435897435897436,0.0,1,1,1,1,3.0,0,0,0,0,0,1,0,0
Led7,7.0,1.0,1.0,9.0,1.0,3,0.0,0.7435897435897436,0.0,1,0,1,1,3.0,0,0,0,0,1,1,0,0
Led7,3.0,1.0,1.0,10.0,2.0,4,0.0,0.7435897435897436,0.0,1,2,1,1,4.0,1,0,0,1,0,0,1,1
Led7,3.0,1.0,1.0,10.0,2.0,4,0.0,0.7435897435897436,0.0,2,3,1,2,4.0,0,1,1,0,0,0,0,1
Led7,3.0,1.0,1.0,10.0,2.0,4,0.0,0.7435897435897436,0.0,2,2,1,2,4.0,1,1,0,1,0,0,1,0
Led7,6.0,1.0,1.0,10.0,1.0,3,0.0,0.7435897435897436,0.0,0,0,0,0,4.0,0,0,1,0,0,1,0,0
Led7,4.0,1.0,1.0,10.0,2.0,4,0.0,0.7435897435897436,0.0,1,1,0,1,4.0,0,0,1,0,0,1,0,0
Led7,7.0,1.0,0.0,8.0,0.0,3,0.0,0.8333333333333334,0.0,2,0,2,2,3.0,0,0,1,0,1,0,1,0
Led7,7.0,1.0,0.0,10.0,1.0,3,0.0,0.7222222222222222,0.0,1,0,1,1,3.0,1,0,1,1,0,1,1,0
Led7,7.0,1.0,0.0,10.0,1.0,3,0.0,0.7407407407407407,0.0,2,0,2,2,3.0,0,0,1,0,0,0,0,0
Led7,7.0,1.0,0.0,10.0,1.0,3,0.0,0.7241379310344828,0.0,1,1,1,1,3.0,0,0,0,0,0,1,0,0
Led7,7.0,1.0,1.0,10.0,1.0,3,0.0,0.7428571428571429,0.0,1,2,0,1,3.0,0,0,1,0,0,1,0,0
Liver Cirrhosis,18.0,0.6111111111111112,0.0,3.0,0.0,0,1.0,0.1081081081081081,0.5555555555555556,1,0,1,1,1.0,1,0,0,0,0,0,1,1
Liver Cirrhosis,18.0,0.6111111111111112,1.0,3.0,0.0,0,1.0,0.5315315315315315,0.5555555555555556,0,1,0,0,2.0,0,1,0,1,0,0,0,0
Liver Cirrhosis,18.0,0.6111111111111112,0.0,2.0,0.0,0,1.0,0.1276595744680851,0.5,1,0,1,1,0.0,0,0,0,1,0,1,0,0
Liver Cirrhosis,9.0,0.7777777777777778,1.0,4.0,1.0,1,1.0,0.1081081081081081,0.6666666666666666,1,1,0,1,3.0,1,1,0,0,1,0,1,1
Liver Cirrhosis,16.0,0.625,1.0,4.0,0.0,1,1.0,0.1081081081081081,0.5,1,1,1,1,2.0,1,1,1,1,0,1,1,1
Liver Cirrhosis,14.0,0.5714285714285714,1.0,4.0,0.0,1,1.0,0.1081081081081081,0.5,1,1,1,1,2.0,0,1,1,0,0,1,1,0
Liver Cirrhosis,10.0,0.6,1.0,4.0,1.0,1,1.0,0.1081081081081081,0.4,1,1,1,1,3.0,1,1,1,1,1,1,1,0
Liver Cirrhosis,11.0,0.5454545454545454,1.0,4.0,1.0,1,1.0,0.1081081081081081,0.4545454545454545,1,1,1,1,3.0,0,1,0,0,0,0,0,0
Liver Cirrhosis,13.0,0.6153846153846154,1.0,4.0,1.0,1,1.0,0.1081081081081081,0.4615384615384615,1,1,1,1,2.0,0,0,0,1,1,1,1,0
Liver Cirrhosis,18.0,0.6111111111111112,0.0,3.0,0.0,0,0.0,0.5365853658536586,0.5,1,0,2,1,1.0,1,1,0,0,0,0,0,1
Liver Cirrhosis,18.0,0.6111111111111112,0.0,3.0,0.0,0,1.0,0.5178571428571429,0.5555555555555556,1,0,1,1,2.0,1,1,1,0,1,0,0,0
Liver Cirrhosis,18.0,0.6111111111111112,0.0,3.0,0.0,0,1.0,0.5230769230769231,0.5,1,0,1,1,2.0,1,0,0,0,0,0,0,1
Liver Cirrhosis,18.0,0.6111111111111112,0.0,3.0,0.0,0,1.0,0.5232558139534884,0.5555555555555556,1,0,1,1,2.0,1,0,0,1,1,0,1,0
Liver Cirrhosis,18.0,0.6111111111111112,0.0,4.0,0.0,1,1.0,0.108695652173913,0.5,1,0,1,1,2.0,0,1,0,0,0,0,0,1
Liver Cirrhosis,18.0,0.6111111111111112,0.0,4.0,0.0,1,1.0,0.11,0.5555555555555556,1,0,1,1,2.0,1,0,0,0,0,0,1,0
Magic,5.0,1.0,0.0,2.0,4.0,1,0.0,0.5330035679532923,1.0,1,2,0,1,3.0,0,0,0,0,0,0,1,0
Magic,5.0,1.0,0.0,2.0,4.0,1,0.0,0.5330035679532923,0.8,1,2,0,1,2.0,1,1,1,0,0,1,0,0
Magic,6.0,1.0,0.0,2.0,4.0,1,0.0,0.5330035679532923,0.8333333333333334,1,2,1,1,2.0,1,0,0,0,0,1,1,0
Magic,8.0,1.0,0.0,2.0,4.0,1,0.0,0.5330035679532923,0.75,1,2,1,1,2.0,1,0,0,0,0,0,1,0
Magic,5.0,1.0,0.0,2.0,4.0,1,0.0,0.5330035679532923,0.6,1,2,1,1,3.0,0,1,0,0,0,1,0,0
Magic,6.0,1.0,0.0,2.0,4.0,1,0.0,0.5330035679532923,0.8333333333333334,1,2,1,1,2.0,0,0,0,1,0,0,1,0
Magic,9.0,1.0,0.0,2.0,4.0,1,0.0,0.5330035679532923,0.7777777777777778,1,2,1,1,2.0,0,1,0,0,0,0,1,0
Magic,10.0,1.0,2.0,2.0,2.0,0,3.0,0.5332640332640333,0.8,1,0,0,1,2.0,0,1,0,0,0,0,1,0
Magic,10.0,1.0,3.0,2.0,3.0,0,3.0,0.5330056179775281,0.9,1,1,1,1,1.0,0,0,0,0,0,1,1,0
Magic,10.0,1.0,3.0,2.0,3.0,0,4.0,0.5332167832167832,0.8,1,1,1,1,2.0,0,1,0,0,0,0,0,0
Magic,10.0,1.0,4.0,2.0,3.0,0,4.0,0.5330035817840696,0.8,1,1,1,1,2.0,0,0,0,0,0,1,1,0
Magic,10.0,1.0,4.0,2.0,3.0,0,4.0,0.5330416415208208,0.8,1,2,1,1,2.0,1,0,0,0,0,0,1,0
Magic,10.0,1.0,4.0,2.0,4.0,0,4.0,0.5330396475770925,0.8,1,2,1,1,1.0,1,0,0,0,0,1,0,0
Magic,10.0,1.0,4.0,2.0,4.0,0,4.0,0.5330792844289193,0.8,1,2,1,1,1.0,0,0,0,0,0,1,1,0
Magic,10.0,1.0,4.0,2.0,4.0,0,4.0,0.5330449189985272,0.8,1,1,1,1,1.0,0,1,1,0,0,1,0,0
Mobile Price Classification,19.0,0.6842105263157895,3.0,7.0,2.0,1,2.0,0.8798076923076923,0.1052631578947368,0,0,0,0,4.0,0,0,1,0,0,0,0,0
Mobile Price Classification,19.0,0.6842105263157895,2.0,5.0,2.0,1,2.0,0.868766404199475,0.1578947368421052,0,0,0,0,4.0,0,0,1,0,0,1,0,0
Mobile Price Classification,19.0,0.6842105263157895,2.0,3.0,1.0,0,2.0,0.7956730769230769,0.1052631578947368,0,0,0,0,3.0,0,0,0,0,0,1,0,0
Mobile Price Classification,19.0,0.6842105263157895,2.0,3.0,1.0,0,2.0,0.9868766404199476,0.1052631578947368,0,0,0,0,3.0,0,0,0,0,0,1,0,0
Mobile Price Classification,19.0,0.6842105263157895,2.0,3.0,1.0,0,2.0,0.8966346153846154,0.1052631578947368,0,0,0,0,4.0,0,0,0,0,0,1,0,0
Mobile Price Classification,17.0,0.7058823529411765,3.0,8.0,2.0,1,2.0,0.7956730769230769,0.0588235294117647,0,0,0,0,4.0,0,0,0,0,0,1,0,0
Mobile Price Classification,16.0,0.6875,3.0,8.0,2.0,1,2.0,0.7956730769230769,0.0625,0,0,0,0,4.0,0,0,0,0,0,1,0,0
Mobile Price Classification,12.0,0.75,3.0,8.0,2.0,2,2.0,0.7956730769230769,0.0833333333333333,0,0,0,0,4.0,0,0,0,0,0,1,0,0
Mobile Price Classification,10.0,0.7,3.0,8.0,3.0,2,2.0,0.7956730769230769,0.2,0,0,0,0,4.0,0,0,0,0,0,1,0,0
Mobile Price Classification,13.0,0.7692307692307693,3.0,8.0,2.0,2,2.0,0.7956730769230769,0.1538461538461538,0,0,0,0,4.0,0,0,1,0,0,1,0,0
Mobile Price Classification,19.0,0.6842105263157895,0.0,8.0,0.0,1,0.0,0.7777777777777778,0.0526315789473684,0,0,0,0,4.0,0,0,1,0,1,0,0,1
Mobile Price Classification,19.0,0.6842105263157895,2.0,8.0,1.0,1,1.0,0.7983193277310925,0.0526315789473684,0,0,0,0,4.0,0,0,0,0,0,1,0,0
Mobile Price Classification,19.0,0.6842105263157895,2.0,8.0,2.0,1,2.0,0.7961165048543689,0.1578947368421052,0,0,0,0,4.0,0,0,0,0,0,1,0,0
Mobile Price Classification,19.0,0.6842105263157895,2.0,8.0,2.0,1,2.0,0.7972972972972973,0.1052631578947368,0,0,0,0,4.0,0,0,0,0,0,1,0,0
Mobile Price Classification,19.0,0.6842105263157895,3.0,8.0,2.0,1,2.0,0.7946666666666666,0.1052631578947368,0,0,0,0,4.0,0,0,0,0,0,1,0,0
Mofn_3_7_10,6.0,1.0,2.0,2.0,2.0,1,2.0,0.2929292929292929,0.0,0,2,0,0,3.0,0,0,0,1,0,0,1,0
Mofn_3_7_10,8.0,1.0,2.0,2.0,2.0,1,2.0,0.2929292929292929,0.0,0,0,0,0,3.0,1,0,0,0,0,0,1,1
Mofn_3_7_10,7.0,1.0,2.0,2.0,2.0,1,2.0,0.2929292929292929,0.0,0,0,0,0,3.0,1,0,0,0,0,0,1,0
Mofn_3_7_10,9.0,1.0,2.0,2.0,2.0,1,2.0,0.2929292929292929,0.0,0,0,0,0,2.0,0,0,0,0,0,0,1,0
Mofn_3_7_10,7.0,1.0,2.0,2.0,2.0,1,2.0,0.2929292929292929,0.0,0,0,0,0,3.0,1,0,0,0,0,0,1,1
Mofn_3_7_10,5.0,1.0,2.0,2.0,2.0,1,2.0,0.2929292929292929,0.0,1,3,0,1,3.0,0,0,0,0,0,0,0,1
Mofn_3_7_10,7.0,1.0,2.0,2.0,2.0,1,2.0,0.2929292929292929,0.0,0,0,0,0,3.0,0,0,0,0,0,0,1,0
